model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,horizon,bh_q_value
two_way_country_year_cluster,rd2_countries,Exports,partner,gini,annualized_real_export_growth_log,log_initial_exports_constant_2015_usd,-0.14429557956253952,0.044242376563363224,-3.2614789432905282,0.0024744820327420093,-0.23411237898846032,-0.05447878013661871,1535,36,0.39545500809683876,ok,1920,385,,"reporter_code,year",two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=35",1,
two_way_country_year_cluster,rd2_countries,Exports,partner,gini,annualized_real_export_growth_log,oil_export_share,-0.369167205481008,0.29240473753950463,-1.262521286718662,0.21510875542605395,-0.9627803814179169,0.22444597045590087,1535,36,0.39545500809683876,ok,1920,385,,"reporter_code,year",two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=35",1,
two_way_country_year_cluster,rd2_countries,Exports,partner,gini,annualized_real_export_growth_log,log_gdp_constant_2015_usd,0.1034931060866928,0.1195113275992033,0.8659690103499671,0.392404725276844,-0.1391277875881738,0.3461139997615594,1535,36,0.39545500809683876,ok,1920,385,,"reporter_code,year",two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=35",1,
two_way_country_year_cluster,rd2_countries,Exports,partner,gini,annualized_real_export_growth_log,log_population,0.02944863498377901,0.16733623257643201,0.17598480932889496,0.8613201760863812,-0.31026197745317885,0.3691592474207369,1535,36,0.39545500809683876,ok,1920,385,,"reporter_code,year",two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=35",1,
two_way_country_year_cluster,rd2_countries,Exports,partner,gini,annualized_real_export_growth_log,log_gni_per_capita_constant_2015_usd,0.026969535434616332,0.16450919121736482,0.16393938378179537,0.8707219238576039,-0.3070018779258076,0.36094094879504024,1535,36,0.39545500809683876,ok,1920,385,,"reporter_code,year",two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=35",1,
lagged_growth_control,rd2_countries,Exports,partner,gini,annualized_real_export_growth_log,partner_gini,0.1029632759281113,0.2972403976905554,0.34639731586990435,0.7302764820979426,-0.4918133860318086,0.6977399378880311,1495,60,0.41534337618519535,ok,1920,425,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",1,0.9389269055544976
lagged_growth_control,rd2_countries,Exports,partner,gini,annualized_real_export_growth_log,log_initial_exports_constant_2015_usd,-0.09943745171285796,0.02532684287741786,-3.9261684606382286,0.00022841271438804175,-0.15011634725213885,-0.04875855617357707,1495,60,0.41534337618519535,ok,1920,425,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",1,
lagged_growth_control,rd2_countries,Exports,partner,gini,annualized_real_export_growth_log,oil_export_share,-0.004303793340802303,0.08252931840820744,-0.05214865969830058,0.9585864051759295,-0.16944457803240037,0.16083699135079577,1495,60,0.41534337618519535,ok,1920,425,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",1,
lagged_growth_control,rd2_countries,Exports,partner,gini,annualized_real_export_growth_log,log_gdp_constant_2015_usd,0.07301449057597945,0.14028766323394262,0.5204626614545645,0.6046888548368441,-0.20770047515794313,0.35372945630990205,1495,60,0.41534337618519535,ok,1920,425,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",1,
lagged_growth_control,rd2_countries,Exports,partner,gini,annualized_real_export_growth_log,log_population,0.022398790794138194,0.16991932613816582,0.13182014843870765,0.8955750540811304,-0.3176089954562045,0.3624065770444809,1495,60,0.41534337618519535,ok,1920,425,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",1,
lagged_growth_control,rd2_countries,Exports,partner,gini,annualized_real_export_growth_log,log_gni_per_capita_constant_2015_usd,-0.00850685846962268,0.16472499617090236,-0.05164279051369232,0.9589877738065178,-0.33812081446320585,0.3211070975239605,1495,60,0.41534337618519535,ok,1920,425,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",1,
lagged_growth_control,rd2_countries,Exports,partner,gini,annualized_real_export_growth_log,prior_export_growth_control,-0.05916769184435092,0.04131881163816926,-1.431979514863233,0.15742638212694324,-0.1418464429604273,0.023511059271725476,1495,60,0.41534337618519535,ok,1920,425,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",1,
region_year_fe,rd2_countries,Exports,partner,gini,annualized_real_export_growth_log,partner_gini,-0.44066840956868114,0.6090685512178281,-0.7235120064688415,0.4722242423307692,-1.6594117654944722,0.77807494635711,1535,60,0.49969564357038343,ok,1920,385,"region_year_Europe & Central Asia::2023,region_year_Latin America & Caribbean ::2023,region_year_Middle East, North Africa, Afghanistan & Pakistan::2023,region_year_North America::2023,region_year_South Asia::2023,region_year_Sub-Saharan Africa ::2023","reporter_code,region_year",clustered by reporter_code,reporter_code,"Student t, df=59",1,0.5803742916117979
region_year_fe,rd2_countries,Exports,partner,gini,annualized_real_export_growth_log,log_initial_exports_constant_2015_usd,-0.15722402029125515,0.04666496418592047,-3.369209063674628,0.001333352820224038,-0.2506003979459365,-0.06384764263657376,1535,60,0.49969564357038343,ok,1920,385,"region_year_Europe & Central Asia::2023,region_year_Latin America & Caribbean ::2023,region_year_Middle East, North Africa, Afghanistan & Pakistan::2023,region_year_North America::2023,region_year_South Asia::2023,region_year_Sub-Saharan Africa ::2023","reporter_code,region_year",clustered by reporter_code,reporter_code,"Student t, df=59",1,
region_year_fe,rd2_countries,Exports,partner,gini,annualized_real_export_growth_log,oil_export_share,-0.4299631147655554,0.27900093650395535,-1.5410812599887451,0.12864377108170302,-0.9882426991922683,0.1283164696611575,1535,60,0.49969564357038343,ok,1920,385,"region_year_Europe & Central Asia::2023,region_year_Latin America & Caribbean ::2023,region_year_Middle East, North Africa, Afghanistan & Pakistan::2023,region_year_North America::2023,region_year_South Asia::2023,region_year_Sub-Saharan Africa ::2023","reporter_code,region_year",clustered by reporter_code,reporter_code,"Student t, df=59",1,
region_year_fe,rd2_countries,Exports,partner,gini,annualized_real_export_growth_log,log_gdp_constant_2015_usd,0.19308957582915365,0.14767334331790355,1.307545231189629,0.19610001752804948,-0.10240410161681329,0.4885832532751206,1535,60,0.49969564357038343,ok,1920,385,"region_year_Europe & Central Asia::2023,region_year_Latin America & Caribbean ::2023,region_year_Middle East, North Africa, Afghanistan & Pakistan::2023,region_year_North America::2023,region_year_South Asia::2023,region_year_Sub-Saharan Africa ::2023","reporter_code,region_year",clustered by reporter_code,reporter_code,"Student t, df=59",1,
region_year_fe,rd2_countries,Exports,partner,gini,annualized_real_export_growth_log,log_population,-0.2577722096560517,0.21190145934137566,-1.21647208309584,0.2286493671234057,-0.6817860504083033,0.16624163109619994,1535,60,0.49969564357038343,ok,1920,385,"region_year_Europe & Central Asia::2023,region_year_Latin America & Caribbean ::2023,region_year_Middle East, North Africa, Afghanistan & Pakistan::2023,region_year_North America::2023,region_year_South Asia::2023,region_year_Sub-Saharan Africa ::2023","reporter_code,region_year",clustered by reporter_code,reporter_code,"Student t, df=59",1,
region_year_fe,rd2_countries,Exports,partner,gini,annualized_real_export_growth_log,log_gni_per_capita_constant_2015_usd,-0.06345007712645889,0.167088876888038,-0.37973848593748805,0.7055030314487347,-0.39779414750938247,0.2708939932564647,1535,60,0.49969564357038343,ok,1920,385,"region_year_Europe & Central Asia::2023,region_year_Latin America & Caribbean ::2023,region_year_Middle East, North Africa, Afghanistan & Pakistan::2023,region_year_North America::2023,region_year_South Asia::2023,region_year_Sub-Saharan Africa ::2023","reporter_code,region_year",clustered by reporter_code,reporter_code,"Student t, df=59",1,
oil_excluded_growth,rd2_countries,Exports,partner,gini,annualized_real_export_growth_log_ex_oil,partner_gini,-0.06682706787381498,0.4634306451072372,-0.14420079591057533,0.8858333460167154,-0.9941496467978608,0.8604955110502308,1535,60,0.3502134305509548,ok,1920,385,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",1,0.8997272178435668
oil_excluded_growth,rd2_countries,Exports,partner,gini,annualized_real_export_growth_log_ex_oil,log_initial_exports_constant_2015_usd,-0.10502625051068554,0.03780946739619412,-2.777776513224765,0.00732697485650595,-0.18068282001844901,-0.02936968100292206,1535,60,0.3502134305509548,ok,1920,385,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",1,
oil_excluded_growth,rd2_countries,Exports,partner,gini,annualized_real_export_growth_log_ex_oil,oil_export_share,0.0767622790200847,0.15417434055829823,0.4978927021326122,0.620410467952345,-0.23173986385687656,0.38526442189704596,1535,60,0.3502134305509548,ok,1920,385,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",1,
oil_excluded_growth,rd2_countries,Exports,partner,gini,annualized_real_export_growth_log_ex_oil,log_gdp_constant_2015_usd,0.0683991431036588,0.10767006308918513,0.6352661189304079,0.5277110747756995,-0.14704815549627281,0.2838464417035904,1535,60,0.3502134305509548,ok,1920,385,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",1,
oil_excluded_growth,rd2_countries,Exports,partner,gini,annualized_real_export_growth_log_ex_oil,log_population,-0.10020862887103665,0.16866118984479778,-0.5941415980952628,0.5546888399698,-0.43769889021334485,0.23728163247127154,1535,60,0.3502134305509548,ok,1920,385,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",1,
oil_excluded_growth,rd2_countries,Exports,partner,gini,annualized_real_export_growth_log_ex_oil,log_gni_per_capita_constant_2015_usd,0.004851319747049665,0.140946240477674,0.03441964631769031,0.9726587022854818,-0.2771814560076935,0.28688409550179284,1535,60,0.3502134305509548,ok,1920,385,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",1,
two_way_country_year_cluster,rd2_countries,Exports,product_partner_cell,gini,annualized_real_export_growth_log,product_partner_cell_gini,-0.20442824421223546,0.6501532694838752,-0.3144308485513286,0.7550605725121491,-1.5243095511693319,1.1154530627448611,1535,36,0.39485713408070255,ok,1920,385,,"reporter_code,year",two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=35",1,0.8780507398559526
two_way_country_year_cluster,rd2_countries,Exports,product_partner_cell,gini,annualized_real_export_growth_log,log_initial_exports_constant_2015_usd,-0.14531983776022023,0.05028454256407057,-2.8899504768301205,0.006574456344855938,-0.24740288628798168,-0.04323678923245876,1535,36,0.39485713408070255,ok,1920,385,,"reporter_code,year",two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=35",1,
