identity_mode,horizon,category,category_label,category_order,countries,min_country_year_pairs,median_country_year_pairs,max_country_year_pairs,median_country_median_net_contribution,median_country_median_gross_positive_contribution,median_country_median_gross_contraction,median_country_median_net_growth_share,median_country_median_gross_positive_share,median_country_median_gross_contraction_share,median_country_median_cell_count,median_country_median_product_count,median_country_median_partner_count,summary_weighting
hs4,10,existing_product_partner_cell_growth,Growth in already-active product-partner cells,4,60,5,22.0,28,44364000339.913,44364000339.913,0.0,1.1088446849746822,0.848326003747405,0.0,9266.0,918.25,139.75,equal_country_after_within_country_median
hs4,10,existing_product_partner_cell_contraction,Contraction in already-active product-partner cells,5,60,5,22.0,28,-12153037223.0,0.0,12153037223.0,-0.3903751940343473,0.0,1.0,12874.0,1108.25,187.0,equal_country_after_within_country_median
hs4,10,existing_product_partner_cell_no_change,No change in already-active product-partner cells,6,60,5,22.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,equal_country_after_within_country_median
hs6_harmonized_family,5,net_new_product,Net-new products,1,60,9,27.0,33,294430240.8491212,294430240.8491212,0.0,0.020371097223564755,0.011925125783905893,0.0,971.0,291.25,86.25,equal_country_after_within_country_median
hs6_harmonized_family,5,net_new_partner_existing_product,Net-new partners for existing products,2,60,9,27.0,33,35137270.7105,35137270.7105,0.0,0.0023680401358850255,0.0017272479920320187,0.0,265.0,232.5,14.0,equal_country_after_within_country_median
hs6_harmonized_family,5,new_product_partner_cell_existing_product_partner,New product-partner cells for existing products and partners,3,60,9,27.0,33,4412803057.822134,4412803057.822134,0.0,0.20354187972106932,0.13651738902692628,0.0,24892.25,3616.5,183.0,equal_country_after_within_country_median
hs6_harmonized_family,5,existing_product_partner_cell_growth,Growth in already-active product-partner cells,4,60,9,27.0,33,31431429206.38916,31431429206.38916,0.0,1.2494410753004808,0.8167959622689138,0.0,18815.0,2958.5,145.5,equal_country_after_within_country_median
hs6_harmonized_family,5,existing_product_partner_cell_contraction,Contraction in already-active product-partner cells,5,60,9,27.0,33,-18805789542.47937,0.0,18805789542.47937,-0.6308491106009625,0.0,1.0,33519.0,4034.0,192.25,equal_country_after_within_country_median
hs6_harmonized_family,5,existing_product_partner_cell_no_change,No change in already-active product-partner cells,6,60,9,27.0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,equal_country_after_within_country_median
hs6_harmonized_family,10,net_new_product,Net-new products,1,60,5,22.0,28,626950919.0813785,626950919.0813785,0.0,0.02708871471621325,0.02105124197062615,0.0,1819.5,407.0,103.75,equal_country_after_within_country_median
hs6_harmonized_family,10,net_new_partner_existing_product,Net-new partners for existing products,2,60,5,22.0,28,254275508.50081557,254275508.50081557,0.0,0.007686001077881562,0.0047383369967365,0.0,1164.0,701.75,21.0,equal_country_after_within_country_median
hs6_harmonized_family,10,new_product_partner_cell_existing_product_partner,New product-partner cells for existing products and partners,3,60,5,22.0,28,8019867111.096592,8019867111.096592,0.0,0.24987071012795034,0.16666326678043644,0.0,32197.5,3564.5,178.5,equal_country_after_within_country_median
hs6_harmonized_family,10,existing_product_partner_cell_growth,Growth in already-active product-partner cells,4,60,5,22.0,28,44289185555.83266,44289185555.83266,0.0,1.0441661679763299,0.7659041953592813,0.0,18216.0,2915.5,136.75,equal_country_after_within_country_median
hs6_harmonized_family,10,existing_product_partner_cell_contraction,Contraction in already-active product-partner cells,5,60,5,22.0,28,-16400100830.226812,0.0,16400100830.226812,-0.47949483435562634,0.0,1.0,30433.25,4030.0,187.0,equal_country_after_within_country_median
hs6_harmonized_family,10,existing_product_partner_cell_no_change,No change in already-active product-partner cells,6,60,5,22.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,equal_country_after_within_country_median
