country,iso3,mean_log_population,mean_oil_export_share,mean_gdp_per_capita,mean_population,microstate_lt_1m,major_oil_exporter_ge_30pct,hub_exclusion,imf_2000_ofc,production_core_keep,strict_production_core_keep,exclusion_reasons
Bulgaria,BGR,15.786710124508886,0.11002571012212009,23127.403203770722,7179283.35318575,False,False,False,False,True,True,
Burkina Faso,BFA,16.651737016817705,0.033155058091618575,1989.872632512029,17051300.19943539,False,False,False,False,True,True,
Burundi,BDI,16.075335908614843,0.011694665419935362,1015.5073209925439,9581415.63262094,False,False,False,False,True,True,
Cabo Verde,CPV,13.124267100371435,0.2269244908234441,7083.623533214436,500952.76809906075,True,False,False,False,False,False,mean_population_below_1m
Cambodia,KHM,16.516778572180684,1.3041710862184569e-05,4356.710928029532,14898611.403557163,False,False,False,False,True,True,
Cameroon,CMR,16.838945089262754,0.4564033730298549,4440.826747197623,20561790.663002692,False,True,False,False,False,False,mean_oil_export_share_at_least_30pct
Canada,CAN,17.366842305716922,0.22397510211686217,53997.65189465987,34859710.93025309,False,False,False,False,True,True,
Central African Rep.,CAF,15.336938218884711,0.0011482989391585167,1215.633175100404,4578757.444181529,False,False,False,False,True,True,
Chile,CHL,16.68277455892835,0.015040932603262431,24830.741259395032,17588829.28751544,False,False,False,False,True,True,
China,CHN,21.02387176078759,0.018878009740109707,12677.761166171187,1350676967.055873,False,False,False,False,True,True,
"China, Hong Kong SAR",HKG,15.778110576846199,0.0018444977109977202,56389.031428265625,7117809.466459284,False,False,True,True,False,False,finance_tax_or_reexport_hub
"China, Macao SAR",MAC,13.245376942879256,7.002678711876856e-05,106613.91267181112,565449.8810179007,True,False,True,True,False,False,mean_population_below_1m;finance_tax_or_reexport_hub
Colombia,COL,17.637114628133887,0.49423045007001265,14834.477055918236,45677419.37315963,False,True,False,False,False,False,mean_oil_export_share_at_least_30pct
Comoros,COM,13.423728644849524,0.000796251724055052,3216.2947825044594,675851.4922362404,True,False,False,False,False,False,mean_population_below_1m
Costa Rica,CRI,15.343015632436535,0.0030522351410593317,19766.823838472475,4606669.1763832485,False,False,False,True,True,False,
Croatia,HRV,15.241094821975645,0.1208682798933346,30604.17021299944,4160287.839268556,False,False,False,False,True,True,
Cyprus,CYP,13.95865056607389,0.14945956706340197,42099.24234375,1153891.3445029394,False,False,True,True,False,False,finance_tax_or_reexport_hub
Czechia,CZE,16.164071146569032,0.027520051214872655,40257.558378511145,10470487.533523213,False,False,False,False,True,True,
Côte d'Ivoire,CIV,16.98060283879004,0.1999393498834254,4932.618271824056,23690930.15055865,False,False,False,False,True,True,
Denmark,DNK,15.541039903605808,0.06994274356626055,63121.799876014724,5615492.779710312,False,False,False,False,True,True,
Dominica,DMA,11.133066389814752,0.0003002746499987355,16226.234424133447,68395.77890661235,True,False,False,True,False,False,mean_population_below_1m
Dominican Rep.,DOM,16.126134648213494,0.04107926474072635,16692.639211257363,10080713.96755246,False,False,False,False,True,True,
