country,iso3,reporter_code,base_window,future_window,base_year,base_year_2,future_year,future_year_2,horizon,total_positive_expansion_2024_usd,total_net_growth_2024_usd,below_threshold_residual_positive_expansion_share,continuing_product_positive_expansion_share,dying_product_positive_expansion_share,new_product_positive_expansion_share,below_threshold_residual_net_contribution_2024_usd,continuing_product_net_contribution_2024_usd,dying_product_net_contribution_2024_usd,new_product_net_contribution_2024_usd
China,CHN,156,2018-2019,2023-2024,2018,2019,2023,2024,5,720816821353.7799,469882950073.0886,2.4779070482096586e-06,0.8995755491279026,1.497991462839054e-05,0.10040699305042074,771870.7762777753,400724639507.2908,-2629249849.4371986,71786788544.45863
"China, Hong Kong SAR",HKG,344,2018-2019,2023-2024,2018,2019,2023,2024,5,102352281064.82564,-51052640903.46443,9.388179576996347e-05,0.8661340638857811,0.0,0.13377205431844888,-35070837.65815033,-63348538257.20883,-1360682187.6187289,13691650379.021275
Costa Rica,CRI,188,2018-2019,2023-2024,2018,2019,2023,2024,5,6241475224.431837,5547283109.233421,0.002886677057923468,0.9773771916340216,8.707053264220522e-05,0.019649060775412786,9287035.5239509,5455376589.335415,-39197508.23982441,121816992.61387974
Croatia,HRV,191,2018-2019,2023-2024,2018,2019,2023,2024,5,6924485992.365261,4787517813.584524,0.0004440499857737926,0.8745864563431134,2.4195153688029217e-06,0.12496707415574387,-968753.1407429506,3975986265.675429,-52828913.49902516,865329214.5488627
Czech Republic,CZE,203,2018-2019,2023-2024,2018,2019,2023,2024,5,38981594965.59131,18501820785.678444,5.0232909382289906e-05,0.9346334282400162,9.833694306357912e-07,0.06531535548117093,1554014.9475811815,16522533873.148,-568341928.3716832,2546074825.9545426
Denmark,DNK,208,2018-2019,2023-2024,2018,2019,2023,2024,5,24527661121.48662,5334838751.36582,0.00014380065869031738,0.9613404726768525,0.0002782231275240833,0.03823750353693312,775758.8678034194,4739465314.339969,-343191008.2425852,937788686.4006318
Egypt,EGY,818,2018-2019,2023-2024,2018,2019,2023,2024,5,14298170980.276863,7444489537.57022,0.0017496208482808261,0.955985266211388,0.00021400652165006127,0.04205110641868098,17867806.62540718,7484574611.101861,-607524861.3021847,549571981.1451365
Finland,FIN,246,2018-2019,2023-2024,2018,2019,2023,2024,5,9170045332.546095,-7622272546.693762,0.0014452798050988594,0.9409381198925466,0.0001404557480402036,0.05747614455431446,2454311.935281734,-8036276846.820054,-113753327.6588225,525303315.8498325
France,FRA,251,2018-2019,2023-2024,2018,2019,2023,2024,5,94351733006.72678,7420282485.474144,4.3883475906086405e-07,0.8789639155593114,0.0,0.12103564560592946,-523470.22578803694,6733680876.962158,-10732797839.769684,11419922918.50746
Georgia,GEO,268,2018-2019,2023-2024,2018,2019,2023,2024,5,3163583679.507572,2158378714.072206,0.006424160293605128,0.9276012779099039,0.0003476479371807459,0.06562691385931016,6017108.856364206,1980857477.0294516,-34605362.566570394,206109490.75296044
Germany,DEU,276,2018-2019,2023-2024,2018,2019,2023,2024,5,114730833785.55081,-98884948855.28165,4.250964949183743e-08,0.7972240538273926,0.0,0.20277590366295808,-6122.622970725461,-108824083628.99716,-13325507602.531216,23264648498.86971
Greece,GRC,300,2018-2019,2023-2024,2018,2019,2023,2024,5,14412388492.002493,11736638789.55125,0.000314794669644917,0.6606107062512733,6.445251018474916e-06,0.3390680538280633,2483167.0439687134,6934910865.604075,-87535760.09405604,4886780516.997262
Guyana,GUY,328,2018-2019,2023-2024,2018,2019,2023,2024,5,15411908198.849329,15012725548.892025,0.005807377929894521,0.010468758111506413,3.631033938423738e-06,0.9837202329246607,77768914.46105483,-214244396.11489746,-10110696.344269097,15159311726.890139
Hungary,HUN,348,2018-2019,2023-2024,2018,2019,2023,2024,5,28629243450.702293,10826829722.482397,0.00015827969247581838,0.8817524296056203,6.436926976218505e-06,0.11808285377492764,-524919.1924445217,7589445642.729677,-142703564.2401202,3380612563.185284
Iceland,ISL,352,2018-2019,2023-2024,2018,2019,2023,2024,5,1186793361.5437253,460516666.7331702,0.011774297707957973,0.8813583377582002,0.0005328567939829262,0.1063345077398586,-7879246.2964720735,432666905.63620913,-16590105.687305331,52319113.08073829
India,IND,699,2018-2019,2023-2024,2018,2019,2023,2024,5,109073090560.6539,60941555731.825386,5.4487395948853784e-05,0.9612681311548733,6.504309157805062e-05,0.03861233835759962,4344612.408121286,58968589772.63182,-2217146529.1527905,4185767875.9382334
Ireland,IRL,372,2018-2019,2023-2024,2018,2019,2023,2024,5,48012161353.22461,28334846970.51773,0.00011952248120389024,0.9824573650438115,0.00010696368205877265,0.01731614879292593,-7410158.993894716,28085146639.63126,-573857307.1515449,830967797.0319108
Italy,ITA,380,2018-2019,2023-2024,2018,2019,2023,2024,5,69815987084.34033,16770957842.04731,8.734655444196392e-06,0.9630608297309659,2.5537374783770536e-05,0.03690489823880634,-43984628.8446964,16456139995.989819,-2216107308.9546003,2574909783.856782
Japan,JPN,392,2018-2019,2023-2024,2018,2019,2023,2024,5,24397629161.398876,-152385655234.16742,2.4174064152583652e-05,0.8401253444274231,0.0,0.15985048150842426,-15843825.805293335,-151169807285.43408,-5099773954.79268,3899769831.8646555
Korea,KOR,410,2018-2019,2023-2024,2018,2019,2023,2024,5,83916551706.42712,-25630628398.105354,1.0926107160360435e-05,0.7719269634770107,6.432944618837694e-06,0.22805567747121006,-1654635.8125111533,-42486053980.11777,-2280012826.761518,19137093044.586437
