model_label,sample,exposure,exposure_label,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,bh_q_value
contemporaneous_growth,rd2_countries,gdp_pc,Real GDP per capita,Imports,partner,top_1pct_share,partner_top_1pct_share,log_gdp_pc_level_lag,0.037392992775967165,0.03261736145012745,1.1464137843627158,0.2562522397819912,-0.02787419673117228,0.10266018228310661,1892,60,0.7673816805717517,ok,1892,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",
contemporaneous_growth,rd2_countries,gdp_pc,Real GDP per capita,Imports,partner,top_1pct_share,partner_top_1pct_share,log_population_lag,-0.05384440184875483,0.05097095812191279,-1.0563741360319205,0.2951037222662302,-0.15583705346743296,0.048148249769923296,1892,60,0.7673816805717517,ok,1892,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",
future_growth_placebo,rd2_countries,gdp_pc,Real GDP per capita,Imports,partner,top_1pct_share,partner_top_1pct_share,gdp_pc_growth_future,0.03142129071782795,0.06329641271465779,0.4964150315986486,0.6214461138705986,-0.09523453857376973,0.15807712000942564,1836,60,0.7705232060787794,ok,1892,56,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",0.7457353366447184
future_growth_placebo,rd2_countries,gdp_pc,Real GDP per capita,Imports,partner,top_1pct_share,partner_top_1pct_share,log_gdp_pc_level_lag,0.03617520262047744,0.03211119993676992,1.1265602871181997,0.26448972674634774,-0.028079160037867437,0.10042956527882231,1836,60,0.7705232060787794,ok,1892,56,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",
future_growth_placebo,rd2_countries,gdp_pc,Real GDP per capita,Imports,partner,top_1pct_share,partner_top_1pct_share,log_population_lag,-0.05942594573688964,0.05204260362363887,-1.1418711132641546,0.25812074574077915,-0.16356295505147073,0.04471106357769146,1836,60,0.7705232060787794,ok,1892,56,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",
region_year_fe,rd2_countries,gdp_pc,Real GDP per capita,Imports,partner,top_1pct_share,partner_top_1pct_share,gdp_pc_growth_lag,-0.07062800402292078,0.10628232901987278,-0.6645319562927031,0.508938939897433,-0.28329845316414276,0.14204244511830116,1892,60,0.8173086384132386,ok,1892,0,"reporter_code_442,region_year_Latin_America_Caribbean_1989,region_year_Middle_East_North_Africa_Afghanistan_Pakistan_1991,region_year_North_America_1989,region_year_South_Asia_1989,region_year_Sub_Saharan_Africa_1995","reporter_code,region_year",clustered by reporter_code,reporter_code,"Student t, df=59",0.624690333125817
region_year_fe,rd2_countries,gdp_pc,Real GDP per capita,Imports,partner,top_1pct_share,partner_top_1pct_share,log_gdp_pc_level_lag,0.03504848791088794,0.036044498672240126,0.972367190610442,0.3348376503986523,-0.03707638733777324,0.10717336315954912,1892,60,0.8173086384132386,ok,1892,0,"reporter_code_442,region_year_Latin_America_Caribbean_1989,region_year_Middle_East_North_Africa_Afghanistan_Pakistan_1991,region_year_North_America_1989,region_year_South_Asia_1989,region_year_Sub_Saharan_Africa_1995","reporter_code,region_year",clustered by reporter_code,reporter_code,"Student t, df=59",
region_year_fe,rd2_countries,gdp_pc,Real GDP per capita,Imports,partner,top_1pct_share,partner_top_1pct_share,log_population_lag,-0.03203027836437125,0.10495098824340686,-0.3051927275814235,0.7612934728331482,-0.24203672076522448,0.17797616403648198,1892,60,0.8173086384132386,ok,1892,0,"reporter_code_442,region_year_Latin_America_Caribbean_1989,region_year_Middle_East_North_Africa_Afghanistan_Pakistan_1991,region_year_North_America_1989,region_year_South_Asia_1989,region_year_Sub_Saharan_Africa_1995","reporter_code,region_year",clustered by reporter_code,reporter_code,"Student t, df=59",
two_way_country_year_cluster,rd2_countries,gdp_pc,Real GDP per capita,Imports,partner,top_5pct_share,partner_top_5pct_share,gdp_pc_growth_lag,-0.01829111302902091,0.05795447063600002,-0.31561176951996656,0.7541196671933231,-0.13582822725589022,0.09924600119784839,1892,37,0.7788555708764753,ok,1892,0,,"reporter_code,year",two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=36",0.8313986986627581
two_way_country_year_cluster,rd2_countries,gdp_pc,Real GDP per capita,Imports,partner,top_5pct_share,partner_top_5pct_share,log_gdp_pc_level_lag,0.04665022442406297,0.032669788961244506,1.4279316122734422,0.16192978311409967,-0.01960717858153435,0.11290762742966029,1892,37,0.7788555708764753,ok,1892,0,,"reporter_code,year",two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=36",
two_way_country_year_cluster,rd2_countries,gdp_pc,Real GDP per capita,Imports,partner,top_5pct_share,partner_top_5pct_share,log_population_lag,0.04406688940936254,0.031058122261635596,1.4188523387904866,0.16454237805994149,-0.01892190203117798,0.10705568084990306,1892,37,0.7788555708764753,ok,1892,0,,"reporter_code,year",two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=36",
contemporaneous_growth,rd2_countries,gdp_pc,Real GDP per capita,Imports,partner,top_5pct_share,partner_top_5pct_share,gdp_pc_growth_current,0.05531974488584476,0.06277101131069447,0.8812944658806188,0.38173463472866886,-0.07028475862478123,0.18092424839647075,1892,60,0.7791982302948832,ok,1892,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",0.5726019520930032
contemporaneous_growth,rd2_countries,gdp_pc,Real GDP per capita,Imports,partner,top_5pct_share,partner_top_5pct_share,log_gdp_pc_level_lag,0.047253351695270895,0.03177053980170542,1.487332352242072,0.14225222656653305,-0.01631935160731099,0.11082605499785278,1892,60,0.7791982302948832,ok,1892,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=59",
