model_label,sample,flow,dimension,metric,outcome,row_type,label,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,threshold_percentile,threshold_log_exports,threshold_exports_constant_2015_usd,exploratory,horizon,bh_q_value
exploratory_export_level_threshold_scan,rd2_countries,Exports,partner,top_1pct_share,partner_top_1pct_share,slope,below_threshold,prior_export_growth_below_threshold,0.10265627450428033,0.07341627599132201,1.3982767869677095,0.1675433708101638,-0.04441419898770932,0.24972674799626998,1231,57,0.8188199771910197,ok,1231,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.74797675652169,20588052247.97918,True,1,
exploratory_export_level_threshold_scan,rd2_countries,Exports,partner,top_1pct_share,partner_top_1pct_share,slope,above_threshold,prior_export_growth_above_threshold,0.047628566495693636,0.04789380526012008,0.9944619400570515,0.3242757671429318,-0.048314254381949306,0.14357138737333658,1231,57,0.8188199771910197,ok,1231,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.74797675652169,20588052247.97918,True,1,
exploratory_export_level_threshold_scan,rd2_countries,Exports,partner,top_1pct_share,partner_top_1pct_share,difference,above_minus_below,above_minus_below_growth_slope,-0.055027708008586695,0.06994024492891003,-0.7867817458248678,0.434726722769497,-0.19513485453637264,0.08507943851919925,1231,57,0.8188199771910197,ok,1231,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.74797675652169,20588052247.97918,True,1,0.8233401466367728
exploratory_export_level_threshold_scan,rd2_countries,Exports,partner,top_5pct_share,partner_top_5pct_share,slope,below_threshold,prior_export_growth_below_threshold,0.07701988394880689,0.04212082941937982,1.8285462326003008,0.07279511278744275,-0.007358276655740126,0.1613980445533539,1231,57,0.809374213665322,ok,1231,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.74797675652169,20588052247.97918,True,1,
exploratory_export_level_threshold_scan,rd2_countries,Exports,partner,top_5pct_share,partner_top_5pct_share,slope,above_threshold,prior_export_growth_above_threshold,0.03612460997547624,0.04114666405274109,0.8779474790270321,0.38372351785256953,-0.0463020628997287,0.11855128285068119,1231,57,0.809374213665322,ok,1231,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.74797675652169,20588052247.97918,True,1,
exploratory_export_level_threshold_scan,rd2_countries,Exports,partner,top_5pct_share,partner_top_5pct_share,difference,above_minus_below,above_minus_below_growth_slope,-0.04089527397333065,0.05046782923630283,-0.8103236178803904,0.4211844720137411,-0.14199448449135357,0.06020393654469228,1231,57,0.809374213665322,ok,1231,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.74797675652169,20588052247.97918,True,1,0.8181117034144197
exploratory_export_level_threshold_scan,rd2_countries,Imports,product,gini,product_gini,slope,below_threshold,prior_export_growth_below_threshold,0.0033386346933136427,0.0055104110052383365,0.6058776178655008,0.5470440310674054,-0.007700045009967226,0.014377314396594511,1234,57,0.9279055204874749,ok,1237,3,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.74797675652169,20588052247.97918,True,5,
exploratory_export_level_threshold_scan,rd2_countries,Imports,product,gini,product_gini,slope,above_threshold,prior_export_growth_above_threshold,0.004254941537453066,0.008636433294465597,0.49267346743472445,0.624169559636052,-0.013045913303633888,0.02155579637854002,1234,57,0.9279055204874749,ok,1237,3,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.74797675652169,20588052247.97918,True,5,
exploratory_export_level_threshold_scan,rd2_countries,Imports,product,gini,product_gini,difference,above_minus_below,above_minus_below_growth_slope,0.0009163068441394237,0.010577416427915492,0.08662860636942907,0.9312757377465983,-0.020272804444471295,0.022105418132750142,1234,57,0.9279055204874749,ok,1237,3,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.74797675652169,20588052247.97918,True,5,0.9848659192278363
exploratory_export_level_threshold_scan,rd2_countries,Imports,partner,gini,partner_gini,slope,below_threshold,prior_export_growth_below_threshold,-0.007357953850468994,0.0047910418620429945,-1.5357732331170695,0.13022517805221656,-0.01695556399421825,0.0022396562932802608,1237,57,0.8564858848248652,ok,1237,0,,"reporter_code,base_year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.74797675652169,20588052247.97918,True,5,
