model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference
average_population_year_fe,rd2_countries,Exports,product,gini,product_gini,log_gdp_per_capita,-0.015053877030226924,0.0022882021245926518,-6.578910520374956,1.3907170386674638e-08,-0.019632558905668573,-0.010475195154785275,1878,60,0.4554688732208869,ok,1878,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Exports,partner,gini,partner_gini,baseline_log_population,-0.004321493467747139,0.0019384815120881886,-2.2293188977035436,0.02961313005553266,-0.00820038601394516,-0.0004426009215491174,1878,60,0.1096131101185992,ok,1878,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Exports,partner,gini,partner_gini,log_gdp_per_capita,0.004045103066999361,0.0019208776548457307,2.105861899530624,0.03948132235410748,0.00020143575778002387,0.007888770376218698,1878,60,0.1096131101185992,ok,1878,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Exports,partner,gini,partner_gini,average_log_population,-0.004157193032532997,0.001992457917183782,-2.086464660899306,0.04126779844555658,-0.00814409211585312,-0.0001702939492128734,1878,60,0.10601794841095435,ok,1878,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Exports,partner,gini,partner_gini,log_gdp_per_capita,0.003927228037850733,0.001951543947389949,2.0123697665651448,0.04875306913900203,2.2197618987311336e-05,0.007832258456714154,1878,60,0.10601794841095435,ok,1878,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Exports,product,top_1pct_share,product_top_1pct_share,baseline_log_population,-0.04087082729364398,0.008963663959437458,-4.559611725583804,2.6366042248752576e-05,-0.058807077447214716,-0.02293457714007325,1878,60,0.36912060826801096,ok,1878,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Exports,product,top_1pct_share,product_top_1pct_share,log_gdp_per_capita,-0.054549172803398424,0.009172060595155941,-5.947319278746107,1.5814030449245262e-07,-0.07290242366185098,-0.036195921944945864,1878,60,0.36912060826801096,ok,1878,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Exports,product,top_1pct_share,product_top_1pct_share,average_log_population,-0.038147560914442866,0.009085074460909542,-4.198926610737296,9.176258381212648e-05,-0.05632675292031061,-0.019968368908575115,1878,60,0.3503701005212103,ok,1878,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
average_population_year_fe,rd2_countries,Exports,product,top_1pct_share,product_top_1pct_share,log_gdp_per_capita,-0.055458937986832664,0.009369271508182304,-5.919236937300799,1.7601521668000498e-07,-0.07420680697075954,-0.036711069002905786,1878,60,0.3503701005212103,ok,1878,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
baseline_population_year_fe,rd2_countries,Exports,product,top_5pct_share,product_top_5pct_share,baseline_log_population,-0.033470189977390125,0.005791884974336177,-5.778807784632538,3.002029582346334e-07,-0.045059725041455695,-0.021880654913324554,1878,60,0.47382842325069907,ok,1878,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59"
