variant,flow,metric_name,outcome,income_form,sample_policy,model_name,curve_component,observations,entity_count,support_p05,support_p95,turning_point_income_variable,turning_point_ppp_2011_usd,turning_point_ci_low_ppp_2011_usd,turning_point_ci_high_ppp_2011_usd,turning_point_inside_p05_p95,slope_p05,slope_p95,slope_p05_p_value,slope_p95_p_value,u_test_p_value,obs_below_turning_point,obs_above_turning_point,entity_below_turning_point,entity_above_turning_point,classification,cluster_count_reference,linear_term_name,square_term_name,linear_term_coefficient,linear_term_cluster_se,linear_term_cluster_p_value,square_term_coefficient,square_term_cluster_se,square_term_cluster_p_value,u_test_q_value,excluded_entity_id
common_partner_block20,Imports,Theil,partner_theil,gdppc_10k,fixed,pooled_year_fe,overall,1246,13,0.24480864481522552,4.14369981153067,4.161521695474624,41615.21695474624,,,False,0.1987090182917133,0.0009041686273176983,0.9883945350913383,0.48801229857896244,0.9883945350913383,1184.0,62.0,13.0,5.0,outside_support,13.0,gdppc_10k,gdppc_10k_sq,0.21112904622109366,0.08077586575696452,0.02264389154138036,-0.025366808306043716,0.009589749107218945,0.02136759633707091,,
common_partner_block20,Imports,Theil,partner_theil,gdppc_10k,fixed,entity_year_fe_logpop,within,1228,13,0.2630416531017626,4.161327441309124,-12.259633583908034,-122596.33583908033,,,False,-0.06362508435922454,-0.08343145619565369,0.35463514562415976,0.8816795458534713,0.8816795458534713,0.0,1228.0,0.0,13.0,outside_support,13.0,gdppc_10k,gdppc_10k_sq,-0.06228862493247782,0.17415545006383767,0.7268087409522563,-0.0025403950495811603,0.015047937955779642,0.8687503170570747,,
common_partner_block20,Imports,HHI,partner_hhi,gdppc_10k,fixed,pooled_year_fe,overall,1246,13,0.24480864481522552,4.14369981153067,6.600068081473361,66000.68081473361,,,False,-0.018015339271134367,-0.006963100121863267,0.046728753300736704,0.9417592875299376,0.9417592875299376,1236.0,10.0,13.0,1.0,outside_support,13.0,gdppc_10k,gdppc_10k_sq,-0.018709301624175934,0.010370410660338598,0.09635653162105204,0.0014173567145991757,0.001076770479694638,0.21266091183105262,,
common_partner_block20,Imports,HHI,partner_hhi,gdppc_10k,fixed,entity_year_fe_logpop,within,1228,13,0.2630416531017626,4.161327441309124,6.956025876834892,69560.25876834893,,,False,-0.03233063223228257,-0.013499862587263402,0.17218065755829698,0.8747027404242971,0.8747027404242971,1219.0,9.0,13.0,1.0,outside_support,13.0,gdppc_10k,gdppc_10k_sq,-0.03360126169500396,0.034414201984638224,0.348150388237659,0.002415262844759075,0.0030704867434060597,0.446769210360177,,
coded_zero_inclusive,Exports,Gini,partner_gini,gdppc_10k,fixed,pooled_year_fe,overall,1704,13,0.1928017329742103,3.7201554178929896,2.500483262388541,25004.83262388541,,,True,-0.008142556115646819,0.004303561320009069,0.3180330633219229,0.16489625211006087,0.3180330633219229,1463.0,241.0,13.0,9.0,suggestive_only,13.0,gdppc_10k,gdppc_10k_sq,-0.008822848829319007,0.017554486990076015,0.6243431892214815,0.0017642287317074742,0.0020858205619121426,0.4142012613071395,,
coded_zero_inclusive,Exports,Gini,partner_gini,gdppc_10k,fixed,entity_year_fe_logpop,within,1670,13,0.19703535929864802,3.7509660250894936,3.5518105056843927,35518.105056843924,,,True,-0.024552461399477796,0.0014575516955151705,0.19509963920234663,0.4489791616365961,0.4489791616365961,1561.0,109.0,13.0,7.0,insufficient_support,13.0,gdppc_10k,gdppc_10k_sq,-0.025994496362305088,0.02846869534161242,0.3791747787019696,0.003659330406380485,0.0023803522648884194,0.15015787325385188,,
coded_zero_inclusive,Exports,Theil,partner_theil,gdppc_10k,fixed,pooled_year_fe,overall,1704,13,0.1928017329742103,3.7201554178929896,1.2300917720880957,12300.917720880958,,,True,-0.023592291741972315,0.05663440867328954,0.44374333570409497,0.10561824954378918,0.44374333570409497,1154.0,550.0,13.0,12.0,suggestive_only,13.0,gdppc_10k,gdppc_10k_sq,-0.027977405414297874,0.17092551527739872,0.872706042687128,0.011372080542741088,0.020546965499301743,0.5901066756009005,,
coded_zero_inclusive,Exports,Theil,partner_theil,gdppc_10k,fixed,entity_year_fe_logpop,within,1670,13,0.19703535929864802,3.7509660250894936,3.6815216384637033,36815.21638463703,,,True,-0.18257582506996706,0.0036386615325457706,0.20083899265398475,0.4845906792382958,0.4845906792382958,1580.0,90.0,13.0,7.0,insufficient_support,13.0,gdppc_10k,gdppc_10k_sq,-0.19289984141263666,0.21678722109874507,0.39105687629088903,0.026198384846806665,0.017675777682902644,0.16407493888558425,,
coded_zero_inclusive,Exports,HHI,partner_hhi,gdppc_10k,fixed,pooled_year_fe,overall,1704,13,0.1928017329742103,3.7201554178929896,3.3206093130252534,33206.093130252535,,,True,-0.015965349693198197,0.0020394135890752416,0.28147000638875436,0.2922724663173164,0.2922724663173164,1573.0,131.0,13.0,7.0,insufficient_support,13.0,gdppc_10k,gdppc_10k_sq,-0.016949472600253004,0.028148323207325864,0.5582816575368486,0.0025521630222754394,0.0034188767001508864,0.4697434497387295,,
coded_zero_inclusive,Exports,HHI,partner_hhi,gdppc_10k,fixed,entity_year_fe_logpop,within,1670,13,0.19703535929864802,3.7509660250894936,4.718130596113009,47181.30596113009,,,False,-0.0357874227864494,-0.007655739504324604,0.1321871579640737,0.766060736611788,0.766060736611788,1642.0,28.0,13.0,2.0,outside_support,13.0,gdppc_10k,gdppc_10k_sq,-0.037347086393993575,0.031721517727551565,0.26188278935055953,0.003957826689320729,0.002968309654175208,0.2071723731893903,,
