reporter_code,year,total_imports,import_products,weighted_mean_top_supplier_share,weighted_mean_source_hhi,median_top_supplier_share,median_source_hhi,share_products_top_supplier_ge_50,share_products_top_supplier_ge_75,share_products_top_supplier_ge_90,import_value_share_products_top_supplier_ge_50,import_value_share_products_top_supplier_ge_75,import_value_share_products_top_supplier_ge_90,country,iso3
36,2001,64061364075.0,4892,0.4556166209765492,0.31166749751055184,0.508312183745757,0.3427087188919792,0.5104251839738349,0.21770237121831562,0.10425183973834833,0.37602720687929714,0.10960752664865886,0.02981027278414224,Australia,AUS
36,2002,72479853336.0,4964,0.46658889567872236,0.3224956718779821,0.49978835619120554,0.33814920402381005,0.4993956486704271,0.2129331184528606,0.11039484286865431,0.363480493481003,0.12633355296059895,0.038319851285080975,Australia,AUS
36,2003,88620312155.0,4959,0.4665107678213865,0.3208632302460086,0.4974474166857,0.33466926732309993,0.49485783424077434,0.21758419036095988,0.10949788263762855,0.40144768463211467,0.10639232240018733,0.03479422781322294,Australia,AUS
36,2004,109026747177.0,4984,0.46292610396843337,0.32015448757899445,0.49960801482240214,0.3348388243730199,0.49919743178170145,0.21649277688603533,0.11276083467094702,0.3912395196909856,0.1168882289344172,0.02706639480135318,Australia,AUS
36,2005,124784642436.0,4958,0.4680055684893464,0.3223425438778596,0.4923740862797664,0.3336872612887378,0.4903186768858411,0.22609923356192013,0.10972166196046793,0.41614771428009223,0.10342596277117404,0.030500639675687984,Australia,AUS
36,2006,138884886009.0,4912,0.4628812201122739,0.3172176969461702,0.5051442069386195,0.3412691050479015,0.5067182410423453,0.22434853420195439,0.1146172638436482,0.4034799758511425,0.12437019909337484,0.03997631511639224,Australia,AUS
36,2007,164725577601.0,4778,0.4589984695463651,0.3159614411641468,0.5065765036393209,0.34260117502007337,0.5102553369610716,0.22624529091670154,0.11071578066136459,0.3743162059407202,0.10138579935323058,0.03817695094827716,Australia,AUS
36,2008,198091940428.0,4746,0.47778916254495885,0.33356040317846625,0.514878694796636,0.35019485173124987,0.5252844500632111,0.22945638432364096,0.11019806152549515,0.43115059681109463,0.11975348436057272,0.05624016257768595,Australia,AUS
36,2009,160814920068.0,4733,0.47817435866948255,0.341325335053559,0.5196090715449192,0.35796308402833377,0.53243186139869,0.23621381787449822,0.1138812592436087,0.3996369876490607,0.15939571830251253,0.055340375558666166,Australia,AUS
36,2010,196035553720.0,4728,0.4846329587626601,0.3387696820064042,0.5280532189424998,0.3659710047007494,0.5431472081218274,0.24619289340101522,0.1127326565143824,0.4382267629151776,0.1388350256141486,0.03785577219630076,Australia,AUS
36,2011,226971630420.0,4726,0.4735944219508418,0.3345466848753628,0.5286970380665539,0.3647666958085728,0.5427422767668219,0.24037240795598816,0.11912822683030047,0.4062708224255439,0.1680519463442113,0.0594775023469649,Australia,AUS
36,2012,244608828906.0,4823,0.4825162406519534,0.33745503248320996,0.5308759267834428,0.36860985384715866,0.5521459672403068,0.250466514617458,0.12129380053908356,0.45119100930903827,0.14694973649464335,0.06490171771804999,Australia,AUS
36,2013,227699020417.0,4834,0.4655969394459672,0.32415843296759383,0.5292883255594301,0.3667723207071317,0.5417873396772859,0.2503103020273066,0.12287960281340504,0.33264154686870623,0.12310878092783903,0.05710549992348235,Australia,AUS
