model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,variant,benchmark_policy
country_year_fe_diagnostic,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_gdp_per_capita,-0.3275924329307132,0.09049368520423119,-3.6200584846487835,0.00039908134362802433,-0.5063616273965196,-0.14882323846490686,3638,155,0.9255687988622632,ok,3638,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,exclude_importer
country_year_fe_diagnostic,cadot_broad_156,Exports,product,market_component_share,market_component_share,log_population,0.03564101668146187,0.03897274485650884,0.9145113286910163,0.36187787991026454,-0.04134917537885355,0.11263120874177729,3638,155,0.9043699444897726,ok,3638,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,exclude_importer
country_year_fe_diagnostic,cadot_broad_156,Exports,product,market_component_share,market_component_share,log_gdp_per_capita,0.08129884480752247,0.015127028041779603,5.3744096053092365,2.7924507062976886e-07,0.05141558155453958,0.11118210806050537,3638,155,0.9043699444897726,ok,3638,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,exclude_importer
main_year_fe,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_population,0.18170078219946245,0.04325167332719897,4.201011619247556,4.483810111032472e-05,0.09625761804329616,0.26714394635562877,3641,155,0.1464840523382135,ok,3641,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,inclusive_imports
main_year_fe,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_gdp_per_capita,0.28532754114275666,0.058228683626474494,4.900120067509623,2.403354717622509e-06,0.17029747199244627,0.40035761029306705,3641,155,0.1464840523382135,ok,3641,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,inclusive_imports
main_year_fe,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_population,-0.5625018143154218,0.039587969873778134,-14.208907809844673,8.240766558277217e-30,-0.6407073760504745,-0.4842962525803691,3641,155,0.6668462940362041,ok,3641,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,inclusive_imports
main_year_fe,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_gdp_per_capita,-0.7941958212581399,0.05107610977134846,-15.549262166079263,2.2280402975662866e-33,-0.8950960661720705,-0.6932955763442094,3641,155,0.6668462940362041,ok,3641,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,inclusive_imports
main_year_fe,cadot_broad_156,Exports,product,market_component_share,market_component_share,log_population,0.06801936896480096,0.005870626961733833,11.586389223530581,1.0180646414435281e-22,0.05642201550759717,0.07961672242200474,3641,155,0.553727249729261,ok,3641,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,inclusive_imports
main_year_fe,cadot_broad_156,Exports,product,market_component_share,market_component_share,log_gdp_per_capita,0.10536671619478051,0.008043934123393449,13.098903419453919,8.0988965935054e-27,0.08947602039286148,0.12125741199669954,3641,155,0.553727249729261,ok,3641,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,inclusive_imports
main_two_way_clustered,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_population,0.18170078219946245,0.04239766741753842,4.285631575200744,0.00025545851373526626,0.0941962974000217,0.26920526699890324,3641,25,0.1464840523382135,ok,3641,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",baseline,inclusive_imports
main_two_way_clustered,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_gdp_per_capita,0.28532754114275666,0.05794209701417779,4.924356484249097,5.035794869736402e-05,0.16574093045748386,0.4049141518280295,3641,25,0.1464840523382135,ok,3641,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",baseline,inclusive_imports
main_two_way_clustered,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_population,-0.5625018143154218,0.03959442275939655,-14.20659211863188,3.523406326014778e-13,-0.6442206864970321,-0.48078294213381145,3641,25,0.6668462940362041,ok,3641,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",baseline,inclusive_imports
main_two_way_clustered,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_gdp_per_capita,-0.7941958212581399,0.050269927071928865,-15.798626883260892,3.490289259440227e-14,-0.8979478514350394,-0.6904437910812404,3641,25,0.6668462940362041,ok,3641,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",baseline,inclusive_imports
main_two_way_clustered,cadot_broad_156,Exports,product,market_component_share,market_component_share,log_population,0.06801936896480096,0.0057477011992981605,11.834186678511864,1.666183289269754e-11,0.056156696726901836,0.07988204120270008,3641,25,0.553727249729261,ok,3641,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",baseline,inclusive_imports
main_two_way_clustered,cadot_broad_156,Exports,product,market_component_share,market_component_share,log_gdp_per_capita,0.10536671619478051,0.0079587241580944,13.239146639806275,1.5922784059121008e-12,0.0889407168524953,0.12179271553706572,3641,25,0.553727249729261,ok,3641,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",baseline,inclusive_imports
country_year_fe_diagnostic,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_population,0.21223063909331702,0.25802531968461634,0.8225186557378399,0.4120535227552128,-0.29749529866354524,0.7219565768501792,3641,155,0.8654880071281184,ok,3641,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,inclusive_imports
country_year_fe_diagnostic,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_gdp_per_capita,0.45706617355452334,0.1090731767051038,4.190454402829693,4.67512968302701e-05,0.2415934155008348,0.6725389316082119,3641,155,0.8654880071281184,ok,3641,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,inclusive_imports
country_year_fe_diagnostic,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_population,-0.4338894522622938,0.2836620205490299,-1.5296000903557607,0.12816723820319015,-0.9942603864291129,0.12648148190452524,3641,155,0.9262404106946589,ok,3641,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,inclusive_imports
country_year_fe_diagnostic,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_gdp_per_capita,-0.3249286129996112,0.09038013076490176,-3.59513324720475,0.0004360087391471157,-0.5034734820265637,-0.14638374397265863,3641,155,0.9262404106946589,ok,3641,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,inclusive_imports
country_year_fe_diagnostic,cadot_broad_156,Exports,product,market_component_share,market_component_share,log_population,0.03529675130091797,0.03890247030881673,0.9073138806025496,0.3656583844902913,-0.04155461422963447,0.11214811683147041,3641,155,0.9058129968283922,ok,3641,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,inclusive_imports
