country,iso3,reporter_code,year,flow,variant,world_relative_product_gini,world_weighted_share_gini,world_weighted_product_coverage,weighted_mean_relative_trade_intensity,weighted_mean_relative_export_intensity,world_weighted_mean_country_share,country_total_trade_value,world_total_trade_value,country_total_exports,world_total_exports,leave_one_out_world_total_exports,country_active_products,world_benchmark_products,zero_weight_country_trade_share,zero_weight_country_export_share,missing_benchmark_product_count,negative_leave_one_out_product_count,metric_valid,invalid_reason,active_product_gini,active_product_count,active_product_total_exports,world_relative_minus_active_product_gini,sample_window
Costa Rica,CRI,188,2024,Exports,world_relative,0.9486639622077613,0.9417404074817949,0.8504203663810065,1.0,1.0,0.0017141304268118787,19880341333.983,20562489519169.53,19880341333.983,20562489519169.53,20542609177835.547,3446,4982,0.0,0.0,0,0,True,,0.9701108938594324,3178.0,19880341333.983,-0.02144693165167111,balanced_2000_2024
Niger,NER,562,2024,Exports,world_relative,0.9392372239199618,0.9519615488833932,0.44871253017849044,1.0000000000000002,1.0000000000000002,0.03359924063038005,1007786657.4239999,20562489519169.53,1007786657.4239999,20562489519169.53,20561481732512.105,516,4982,0.0,0.0,0,0,True,,0.9863482823307308,449.0,1007786657.424,-0.04711105841076901,balanced_2000_2024
Morocco,MAR,504,2024,Exports,world_relative,0.9359075748317685,0.9206465132892108,0.8691380003667191,1.0,1.0,0.0021570336291254783,80525530850.752,20562489519169.53,80525530850.752,20562489519169.53,20481963988318.78,3733,4982,0.0,0.0,0,0,True,,0.9704883989139316,3551.0,80525530850.752,-0.03458082408216312,balanced_2000_2024
Armenia,ARM,51,2024,Exports,world_relative,0.9350305964763382,0.969959045233268,0.8244048876982422,0.9999999999999998,0.9999999999999998,0.008840528621323038,13070809687.664001,20562489519169.53,13070809687.664001,20562489519169.53,20549418709481.867,3202,4982,0.0,0.0,0,0,True,,0.9780411865320212,3041.0,13070809687.664,-0.04301059005568297,balanced_2000_2024
North Macedonia,MKD,807,2024,Exports,world_relative,0.9295679443027659,0.9078468055515713,0.8305272555976914,1.0,1.0,0.0014914496530086755,8413033233.21,20562489519169.53,8413033233.21,20562489519169.53,20554076485936.32,3568,4982,0.0,0.0,0,0,True,,0.9604970088793208,3209.0,8413033233.209999,-0.030929064576554866,balanced_2000_2024
Canada,CAN,124,2024,Exports,world_relative,0.6888636545902452,0.9008650230644355,0.9882009145907921,1.0,1.0,0.01049560165913696,529357830205.09595,20562489519169.53,529357830205.09595,20562489519169.53,20033131688964.434,4795,4982,0.0,0.0,0,0,True,,0.9296626138016996,5162.0,529357830205.09607,-0.24079895921145433,balanced_2000_2024
Korea,KOR,410,2024,Exports,world_relative,0.6882210482785209,0.8608905715312566,0.9891848237044983,1.0,1.0,0.0060287065978167804,683089471519.0,20562489519169.53,683089471519.0,20562489519169.53,19879400047650.527,4723,4982,0.0,0.0,0,0,True,,0.9391579788403824,5013.0,683089471519.0,-0.2509369305618615,balanced_2000_2024
China,CHN,156,2024,Exports,world_relative,0.6776700922157393,0.7733966039966521,0.9918933471758504,1.0,1.0,0.0025982660008785205,3479639306679.0,20562489519169.53,3479639306679.0,20562489519169.53,17082850212490.527,4863,4982,0.0,0.0,0,0,True,,0.8498748708596133,5227.0,3479639306679.0,-0.17220477864387407,balanced_2000_2024
Austria,AUT,40,2024,Exports,world_relative,0.6670593539079765,0.7844765606693188,0.9374228138291936,0.9999999999999999,0.9999999999999999,0.0027447658764401953,196833236914.601,20562489519169.53,196833236914.601,20562489519169.53,20365656282254.93,4712,4982,0.0,0.0,0,0,True,,0.8815677137703399,5022.0,196833236914.60095,-0.21450835986236338,balanced_2000_2024
Sweden,SWE,752,2024,Exports,world_relative,0.6640471352972721,0.8182949962947489,0.9936109823479131,1.0000000000000002,1.0000000000000002,0.0039084873402330505,187984660379.21698,20562489519169.53,187984660379.21698,20562489519169.53,20374504858790.312,4764,4982,0.0,0.0,0,0,True,,0.9050556161250444,5115.0,187984660379.21695,-0.24100848082777226,balanced_2000_2024
