variant,outcome,outcome_label,expected_shape,estimator,income_form,observations,countries,linear_coefficient,linear_p_value,quadratic_coefficient,quadratic_p_value,turning_point_ppp_constant_2021_intl_usd,income_p05,income_p95,turning_point_inside_p05_p95,slope_at_p05,slope_at_p05_standard_error,slope_at_p05_one_sided_p,slope_at_p95,slope_at_p95_standard_error,slope_at_p95_one_sided_p,intersection_union_endpoint_p,observations_above_turning_point,countries_above_turning_point,r_squared
no_microstates,export_product_theil,Export Product Theil,concentration_u,country_year_fe,log_ppp,2602,107,-2.0886457105057543,0.04913415705703582,0.10689108639700158,0.05796254697298417,17500.266415307036,2004.044756167649,65339.13789088628,True,-0.4632763557259951,0.237828637437286,0.025710960806764792,0.2816313128316965,0.2390431454775417,0.11936621234949096,0.11936621234949096,1289,63,0.9600614023898469
no_microstates,export_product_hhi,Export Product HHI,concentration_u,pooled_year_fe,level_ppp,2602,107,-0.045750427028230074,7.413762086046751e-07,0.003587801833129588,8.372220972737693e-05,63758.297080085154,2004.044756167649,65339.13789088628,True,-0.04431240393825967,0.00890655994642046,3.258095747396663e-07,0.0011343487117756734,0.0049562973022116855,0.40948490477281996,0.40948490477281996,143,11,0.5249029499805424
no_microstates,export_product_hhi,Export Product HHI,concentration_u,between_country,level_ppp,107,107,-0.05244308724335495,1.8084003005336576e-06,0.004327333997831499,0.0001720138927213135,60595.14619120581,2071.247387668284,63196.47397187343,True,-0.05065049139563962,0.010544392345959906,7.793937381803265e-07,0.0022513628289573123,0.00597892728273982,0.3532541648333166,0.3532541648333166,7,7,0.57805066735008
no_microstates,export_product_hhi,Export Product HHI,concentration_u,country_year_fe,level_ppp,2602,107,0.03295461162567488,0.07092121335763123,-0.0013225050710414762,0.10509631456217583,124591.62670628945,2004.044756167649,65339.13789088628,False,0.03242453975514972,0.017931856010933635,0.9647129948707117,0.015672343386039806,0.008420171278286455,0.03135192917508922,0.9647129948707117,9,2,0.8922585299305491
no_microstates,export_product_hhi,Export Product HHI,concentration_u,pooled_year_fe,log_ppp,2602,107,-0.3387915099984181,0.00243365322269849,0.015433395651340522,0.007942815554210192,58449.74049430441,2004.044756167649,65339.13789088628,True,-0.10411367878326314,0.024418265834475265,1.0050668673330616e-05,0.0034393002356775115,0.019212124464851175,0.4289621081591266,0.4289621081591266,241,16,0.5660285407339964
no_microstates,export_product_hhi,Export Product HHI,concentration_u,between_country,log_ppp,107,107,-0.36360485009839094,0.00489260532110763,0.016595034231079282,0.013685081875416095,57252.72356725144,2071.247387668284,63196.47397187343,True,-0.11016859698165188,0.02757836456827506,3.238164761262355e-05,0.0032782923729085534,0.02179492106187009,0.440218435104613,0.440218435104613,10,10,0.6250591957409664
no_microstates,export_product_hhi,Export Product HHI,concentration_u,country_year_fe,log_ppp,2602,107,-0.07440131743228479,0.6773375107733566,0.0071083718490854,0.4710093268787586,187.421214416048,2004.044756167649,65339.13789088628,False,0.03368748730650431,0.03511857000689193,0.8312835843604669,0.08322464592118059,0.046617842856542684,0.037110140670949865,0.8312835843604669,2602,107,0.8929139331185236
no_microstates,export_active_product_count,Export active-product count,count_inverted_u,pooled_year_fe,level_ppp,2602,107,969.4038265544048,1.1390722572351109e-33,-68.54393963423234,2.7480089058033803e-12,70714.04355566566,2004.044756167649,65339.13789088628,False,941.9308019961937,76.5179523057535,0.0,73.68344188526623,61.25603677965006,0.8854879257045576,0.8854879257045576,96,8,0.7257133813973635
no_microstates,export_active_product_count,Export active-product count,count_inverted_u,between_country,level_ppp,107,107,1057.9922256819275,8.576726208092455e-35,-79.08895342597187,7.452846670960583e-14,66886.21987343782,2071.247387668284,63196.47397187343,False,1025.229668046535,81.92626920372692,0.0,58.363628352499404,62.26229392127493,0.8257192603969041,0.8257192603969041,5,5,0.7740710142440089
no_microstates,export_active_product_count,Export active-product count,count_inverted_u,country_year_fe,level_ppp,2602,107,337.90565369647277,0.009557991357805228,-19.635809490044714,0.002498513873647481,86043.219625804,2004.044756167649,65339.13789088628,False,330.03544548814654,127.94043577624016,0.004945707472577832,81.30828092263175,57.61745877564776,0.9209033968426286,0.9209033968426286,53,4,0.9555486389543344
