model_label,outcome,term,coef,std_error,t_stat,p_value,nobs,candidate_rows,clusters,reporter_clusters,product_clusters,fixed_effects,cluster_col,se_method,status,screen,prody_spec,mismatch_definition,threshold_definition,influence_country
old_cone_exit_hs4_lpm,exit_next_window,mismatch_x_rich_side,0.026009701408579097,0.005132974832226138,5.067178830740313,1.805438525128992e-06,1225044,1251439,103,103,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_a_drop_NLD,screen_full_level,mismatch_world_broad_full_level,fixed_39308,NLD
old_cone_exit_hs4_lpm,exit_next_window,mismatch_log_income_minus_prody,-0.001561650755843466,0.007498159223712797,-0.20827121820843347,0.8354325162909971,1225044,1251439,103,103,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_a_drop_NLD,screen_full_level,mismatch_world_broad_full_level,fixed_39308,NLD
old_cone_exit_hs4_lpm,exit_next_window,rich_side_ct,-0.014273667478132515,0.0072872313766088725,-1.9587229690481975,0.05287574555254351,1225044,1251439,103,103,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_a_drop_NLD,screen_full_level,mismatch_world_broad_full_level,fixed_39308,NLD
old_cone_exit_hs4_lpm,exit_next_window,mismatch_x_rich_side,0.026009701408579097,0.005751684794153378,4.522101321515065,1.6566067680386435e-05,1225044,1251439,103,103,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_a_drop_NLD,screen_full_level,mismatch_world_broad_full_level,fixed_39308,NLD
old_cone_exit_hs4_lpm,exit_next_window,mismatch_log_income_minus_prody,-0.000556837139800125,0.007505303874333927,-0.0741924842915894,0.941005435776904,1183097,1209492,101,101,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_b_addback_NLD,screen_full_level,mismatch_world_broad_full_level,fixed_39308,NLD
old_cone_exit_hs4_lpm,exit_next_window,rich_side_ct,-0.01572582434493819,0.007401271705326235,-2.124746255919951,0.03607265953994593,1183097,1209492,101,101,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_b_addback_NLD,screen_full_level,mismatch_world_broad_full_level,fixed_39308,NLD
old_cone_exit_hs4_lpm,exit_next_window,mismatch_x_rich_side,0.02716993692468851,0.005151210710781811,5.274475933943084,7.724156229196024e-07,1183097,1209492,101,101,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_b_addback_NLD,screen_full_level,mismatch_world_broad_full_level,fixed_39308,NLD
old_cone_exit_hs4_lpm,exit_next_window,mismatch_log_income_minus_prody,-0.000556837139800125,0.0076302298279139445,-0.07297776768964777,0.9419695794492418,1183097,1209492,101,101,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_b_addback_NLD,screen_full_level,mismatch_world_broad_full_level,fixed_39308,NLD
old_cone_exit_hs4_lpm,exit_next_window,rich_side_ct,-0.01572582434493819,0.007583962742109945,-2.073562974883904,0.040690147578906814,1183097,1209492,101,101,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_b_addback_NLD,screen_full_level,mismatch_world_broad_full_level,fixed_39308,NLD
old_cone_exit_hs4_lpm,exit_next_window,mismatch_x_rich_side,0.02716993692468851,0.005953849164319429,4.563423791034895,1.433285764309612e-05,1183097,1209492,101,101,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_b_addback_NLD,screen_full_level,mismatch_world_broad_full_level,fixed_39308,NLD
