country,iso3,reporter_code,flow,n_years,first_year,last_year,first_partner_gini,last_partner_gini,endpoint_change,abs_endpoint_change,mean_partner_gini,sd_partner_gini,min_partner_gini,max_partner_gini,range_partner_gini,first_partner_active_count,last_partner_active_count,min_partner_active_count,median_partner_active_count,mean_partner_active_count,slope_per_year,slope_per_decade,slope_std_error,slope_p_value,slope_ci_low,slope_ci_high,slope_se_method,slope_hac_maxlags,status,window,slope_q_value,abs_slope_per_decade,stable_slope_10yr_0p02,stable_endpoint_0p05,stable_sd_0p02,low_active_partner_warning
Panama,PAN,591,Imports,21,2001,2021,0.8620210064866414,0.875914517918363,0.013893511431721572,0.013893511431721572,0.8593865264057654,0.011096449365234441,0.8450464923529608,0.8870231910466375,0.041976698693676706,88.0,105.0,82.0,104.0,101.42857142857143,0.0004835654600715122,0.004835654600715122,0.00036354889854963373,0.18347710665996886,-0.00022897728770497584,0.001196108207848,HAC/Newey-West,3,ok,balanced_2001_2021,0.24463614221329183,0.004835654600715122,True,True,True,False
Peru,PER,604,Exports,21,2001,2021,0.8786866612474082,0.9145349210598384,0.03584825981243012,0.03584825981243012,0.9065907178143227,0.010051926652680942,0.8786866612474082,0.9225734314416012,0.04388677019419296,146.0,164.0,144.0,169.0,166.52380952380952,0.0009327131451630517,0.009327131451630517,0.0003962243350091273,0.018572477349705,0.00015612771874682924,0.001709298571579274,HAC/Newey-West,3,ok,balanced_2001_2021,0.037785384952848104,0.009327131451630517,True,True,True,False
Peru,PER,604,Imports,21,2001,2021,0.8919628778242037,0.9280349201740864,0.036072042349882705,0.036072042349882705,0.9091277450189895,0.010984919174191239,0.8894659103924534,0.9280349201740864,0.038569009781633024,166.0,219.0,165.0,192.0,188.33333333333334,0.0017033912871854233,0.017033912871854233,0.00010491970080967813,2.8436566289812353e-59,0.0014977524523297361,0.0019090301220411104,HAC/Newey-West,3,ok,balanced_2001_2021,1.7061939773887412e-57,0.017033912871854233,True,True,True,False
Poland,POL,616,Exports,21,2001,2021,0.8964135745347277,0.9056994062361328,0.009285831701405067,0.009285831701405067,0.9057911120908508,0.004456039451965405,0.8964135745347277,0.9157909001722122,0.01937732563748451,172.0,225.0,172.0,215.0,212.85714285714286,4.0583799583916724e-05,0.00040583799583916724,0.00021282477905652791,0.8487675811429388,-0.0003765451023845724,0.00045771270155240583,HAC/Newey-West,3,ok,balanced_2001_2021,0.8634015049557482,0.00040583799583916724,True,True,True,False
Poland,POL,616,Imports,21,2001,2021,0.885499596579586,0.9042719235376572,0.018772326958071184,0.018772326958071184,0.9054735624774134,0.008291680112471658,0.885499596579586,0.913034357246436,0.02753476066685001,163.0,234.0,163.0,230.0,221.95238095238096,0.0002730497442281765,0.002730497442281765,0.0004963407878674731,0.5822332698215158,-0.0006997603240503059,0.001245859812506659,HAC/Newey-West,3,ok,balanced_2001_2021,0.6849803174370774,0.002730497442281765,True,True,True,False
Russia,RUS,643,Exports,21,2001,2021,0.8679430961922792,0.8511378144854291,-0.016805281706850028,0.016805281706850028,0.8626723702056787,0.011295202290791624,0.8438734526256033,0.8800992436534314,0.03622579102782808,174.0,199.0,174.0,186.0,186.76190476190476,-0.0012433983873896964,-0.012433983873896964,0.0003252859405521846,0.00013211720995341136,-0.0018809471155492154,-0.0006058496592301775,HAC/Newey-West,3,ok,balanced_2001_2021,0.0004585244345441923,0.012433983873896964,True,True,True,False
Russia,RUS,643,Imports,21,2001,2021,0.8688393126682725,0.8920719119653786,0.023232599297106082,0.023232599297106082,0.8815577811872333,0.008243190495803453,0.8681192318230908,0.8978778021824716,0.029758570359380787,189.0,220.0,187.0,205.0,207.1904761904762,0.001028931502493842,0.01028931502493842,0.00012324252021765113,6.893939419870478e-17,0.0007873806015032962,0.0012704824034843877,HAC/Newey-West,3,ok,balanced_2001_2021,6.893939419870479e-16,0.01028931502493842,True,True,True,False
Rwanda,RWA,646,Exports,21,2001,2021,0.9336474867071214,0.9185797789661024,-0.015067707741018954,0.015067707741018954,0.903615134038867,0.016712122125419736,0.8805578008685051,0.9336474867071214,0.053089685838616285,57.0,109.0,57.0,91.0,90.0952380952381,-4.1084481533762776e-05,-0.00041084481533762776,0.0006010137174629658,0.9455001437049768,-0.0012190497219757076,0.001136880758908182,HAC/Newey-West,3,ok,balanced_2001_2021,0.9455001437049768,0.00041084481533762776,True,True,True,False
Rwanda,RWA,646,Imports,21,2001,2021,0.8325579449671043,0.8950190788000916,0.06246113383298724,0.06246113383298724,0.8775857352631922,0.020364186484652245,0.8278634678737085,0.9004664479674653,0.07260298009375687,107.0,174.0,107.0,156.0,148.28571428571428,0.002065987887145536,0.02065987887145536,0.0009049891890581687,0.022437036358566087,0.00029224167019341525,0.0038397341040976567,HAC/Newey-West,3,ok,balanced_2001_2021,0.044874072717132174,0.02065987887145536,False,False,False,False
Senegal,SEN,686,Exports,21,2001,2021,0.8214248206219228,0.8659868607305004,0.04456204010857756,0.04456204010857756,0.8653671502069917,0.019790968886642044,0.8214248206219228,0.9007184283678353,0.07929360774591254,80.0,124.0,80.0,136.0,128.76190476190476,0.0005226546770483991,0.005226546770483991,0.0008222041334656973,0.5249882231466099,-0.0010888358124843314,0.0021341451665811296,HAC/Newey-West,3,ok,balanced_2001_2021,0.6021971099490079,0.005226546770483991,True,True,True,False
Senegal,SEN,686,Imports,21,2001,2021,0.8684836611027398,0.8422283927699459,-0.026255268332793902,0.026255268332793902,0.8537028031299824,0.009077089798469924,0.8290041371052255,0.8684836611027398,0.03947952399751431,128.0,158.0,127.0,152.0,147.23809523809524,-0.00012865329943748637,-0.0012865329943748637,0.00034926313708045424,0.7126075295782616,-0.0008131964692426525,0.0005558898703676798,HAC/Newey-West,3,ok,balanced_2001_2021,0.8222394572056864,0.0012865329943748637,True,True,True,False
India,IND,699,Exports,21,2001,2021,0.85318277868625,0.8309069399254374,-0.022275838760812627,0.022275838760812627,0.841849943051218,0.009651553963417978,0.8294114809466191,0.8599412899836132,0.030529809036994093,212.0,220.0,212.0,221.0,220.42857142857142,-0.0013818433307437785,-0.013818433307437785,0.00016125578866100173,1.0414905128351234e-17,-0.0016978988688179444,-0.0010657877926696126,HAC/Newey-West,3,ok,balanced_2001_2021,1.516197564338661e-16,0.013818433307437785,True,True,True,False
India,IND,699,Imports,21,2001,2021,0.8892018148988268,0.8661273092087343,-0.023074505690092506,0.023074505690092506,0.8704845376787729,0.015136864174640918,0.8545123140520765,0.9053800851467708,0.050867771094694314,179.0,208.0,179.0,210.0,207.76190476190476,-0.0017294082117552453,-0.017294082117552453,0.0005117998463867539,0.000727311222523607,-0.002732517477966415,-0.0007262989455440755,HAC/Newey-West,3,ok,balanced_2001_2021,0.001897333623974627,0.017294082117552453,True,True,True,False
Singapore,SGP,702,Exports,21,2001,2021,0.9179710056160508,0.9173314851086702,-0.0006395205073805865,0.0006395205073805865,0.8983709330044866,0.02161077411482955,0.8638952467029637,0.9186205591949376,0.054725312491973876,212.0,216.0,143.0,212.0,190.14285714285714,0.0019148801181192061,0.01914880118119206,0.0009335171610692654,0.04024228982832954,8.522010347336941e-05,0.003744540132765043,HAC/Newey-West,3,ok,balanced_2001_2021,0.07419672187098258,0.01914880118119206,True,True,False,False
Singapore,SGP,702,Imports,21,2001,2021,0.9221377992275248,0.9233380566614636,0.0012002574339388117,0.0012002574339388117,0.9035306996599951,0.01890960732970165,0.872540863087242,0.9233380566614636,0.05079719357422163,198.0,226.0,142.0,202.0,191.42857142857142,0.0017087082555268512,0.01708708255526851,0.0008145528452498547,0.03592940299894708,0.00011221401533250807,0.0033052024957211943,HAC/Newey-West,3,ok,balanced_2001_2021,0.061593262283909274,0.01708708255526851,True,True,True,False
Slovakia,SVK,703,Exports,21,2001,2021,0.9329839079844386,0.9184768207968712,-0.014507087187567436,0.014507087187567436,0.9226317284998199,0.004863916646156909,0.9169789495722238,0.933061796528375,0.016082846956151142,182.0,200.0,182.0,193.0,193.66666666666666,-0.0005694433272666246,-0.005694433272666246,0.0001770216371548547,0.001296286104007758,-0.0009163993605744573,-0.00022248729395879188,HAC/Newey-West,3,ok,balanced_2001_2021,0.0036419466731646534,0.005694433272666246,True,True,True,False
Slovakia,SVK,703,Imports,21,2001,2021,0.9325980108058884,0.9242713872770812,-0.008326623528807198,0.008326623528807198,0.9276934096896587,0.0033456499580881323,0.9221026522043648,0.9325980108058884,0.010495358601523619,190.0,229.0,190.0,220.0,218.04761904761904,-0.00044388776345052547,-0.004438877634505255,7.380624785215433e-05,1.8074353662182113e-09,-0.0005885453510747847,-0.00029923017582626625,HAC/Newey-West,3,ok,balanced_2001_2021,1.0844612197309267e-08,0.004438877634505255,True,True,True,False
Slovenia,SVN,705,Exports,21,2001,2021,0.913234045048492,0.90670509016306,-0.006528954885432037,0.006528954885432037,0.9014867724574775,0.005017040329591314,0.8939701082432763,0.913234045048492,0.019263936805215764,171.0,200.0,167.0,186.0,186.61904761904762,-0.00032972881621733466,-0.0032972881621733466,0.0002533269178683119,0.1930551851425445,-0.0008262404515537623,0.00016678281911909295,HAC/Newey-West,3,ok,balanced_2001_2021,0.271196569605003,0.0032972881621733466,True,True,True,False
Slovenia,SVN,705,Imports,21,2001,2021,0.9209259557449916,0.9113464832939582,-0.00957947245103341,0.00957947245103341,0.9103401894129137,0.00563644630792606,0.9018189687038212,0.9209259557449916,0.01910698704117042,207.0,226.0,206.0,222.0,219.52380952380952,-0.00041389777548366327,-0.004138977754836633,0.00026882482755604043,0.12364421215151511,-0.0009407847556436932,0.00011298920467636665,HAC/Newey-West,3,ok,balanced_2001_2021,0.17663458878787872,0.004138977754836633,True,True,True,False
South Africa,ZAF,710,Exports,21,2001,2021,0.8807852635412272,0.8911179275947916,0.010332664053564367,0.010332664053564367,0.8715030037576723,0.007345484824444164,0.860585794624739,0.8911179275947916,0.030532132970052528,210.0,216.0,209.0,215.0,216.04761904761904,0.000153705579408088,0.0015370557940808799,0.00038959884806092536,0.693195190277511,-0.0006098941312096184,0.0009173052900257944,HAC/Newey-West,3,ok,balanced_2001_2021,0.7573799301180212,0.0015370557940808799,True,True,True,False
South Africa,ZAF,710,Imports,21,2001,2021,0.9065958996039576,0.886114170278091,-0.02048172932586656,0.02048172932586656,0.8883929891629213,0.008106876112716562,0.8817390756050292,0.9065958996039576,0.024856823998928412,218.0,233.0,216.0,226.0,224.95238095238096,-0.0008938434056244039,-0.00893843405624404,0.00036529765656106164,0.014409456510861358,-0.0016098136561209665,-0.0001778731551278413,HAC/Newey-West,3,ok,balanced_2001_2021,0.029812668643161427,0.00893843405624404,True,True,True,False
Zimbabwe,ZWE,716,Exports,21,2001,2021,0.9623144454894312,0.9597298619012682,-0.0025845835881630475,0.0025845835881630475,0.9423719995478919,0.026891608272460545,0.8864237692204979,0.971891830549326,0.08546806132882812,69.0,100.0,69.0,100.0,110.52380952380952,0.003033711374202946,0.03033711374202946,0.0007649411228139279,7.310694121987969e-05,0.0015344543231940173,0.0045329684252118745,HAC/Newey-West,3,ok,balanced_2001_2021,0.00026958184574830637,0.03033711374202946,False,True,False,False
Zimbabwe,ZWE,716,Imports,21,2001,2021,0.9140639776855216,0.9292269275540794,0.015162949868557818,0.015162949868557818,0.9327061984764917,0.014500595031144143,0.9067951072905598,0.9724586341266566,0.06566352683609677,133.0,148.0,114.0,149.0,143.66666666666666,0.0008788088188272959,0.00878808818827296,0.0005356207883988976,0.10085358210844676,-0.00017098863580549263,0.0019286062734600845,HAC/Newey-West,3,ok,balanced_2001_2021,0.15128037316267012,0.00878808818827296,True,True,True,False
Spain,ESP,724,Exports,21,2001,2021,0.8918634163257155,0.8859528858455084,-0.005910530480207177,0.005910530480207177,0.8813338823461996,0.007640546281746847,0.8700671047441821,0.8922819725391815,0.02221486779499937,218.0,232.0,216.0,224.0,223.8095238095238,-0.0008459462006938766,-0.008459462006938766,0.0002884686625198969,0.003362004506967849,-0.001411334389901314,-0.0002805580114864394,HAC/Newey-West,3,ok,balanced_2001_2021,0.007934330636444123,0.008459462006938766,True,True,True,False
Spain,ESP,724,Imports,21,2001,2021,0.8931876650182111,0.8785038996439978,-0.014683765374213342,0.014683765374213342,0.8799677892942707,0.009482440410394699,0.8675954467817395,0.8983000075968846,0.030704560815145054,214.0,234.0,213.0,228.0,224.14285714285714,-0.000774054097776096,-0.00774054097776096,0.0004115503291380955,0.05999574474120795,-0.0015806779207123683,3.256972516017646e-05,HAC/Newey-West,3,ok,balanced_2001_2021,0.09729039687763452,0.00774054097776096,True,True,True,False
Sweden,SWE,752,Exports,21,2001,2021,0.8948842964758061,0.898518960068194,0.0036346635923878434,0.0036346635923878434,0.8897643165610276,0.005594300993384383,0.8779518576229108,0.898518960068194,0.020567102445283147,212.0,227.0,212.0,225.0,223.04761904761904,0.00026752688025527376,0.0026752688025527376,0.0002975572911215311,0.36861171317705765,-0.00031567469368022725,0.0008507284541907748,HAC/Newey-West,3,ok,balanced_2001_2021,0.46272534207332766,0.0026752688025527376,True,True,True,False
Sweden,SWE,752,Imports,21,2001,2021,0.9118174027102736,0.9240346864465174,0.012217283736243867,0.012217283736243867,0.9158617046851841,0.003401551091069878,0.9102267416076492,0.9240346864465174,0.013807944838868269,190.0,233.0,190.0,214.0,213.8095238095238,0.00041038615297621026,0.0041038615297621026,8.304408703944839e-05,7.740993565793261e-07,0.0002476227332498819,0.0005731495727025386,HAC/Newey-West,3,ok,balanced_2001_2021,3.87049678289663e-06,0.0041038615297621026,True,True,True,False
