country,iso3,reporter_code,snapshot,year,top5_share,rank6_50_share,rank51_200_share,rank201_plus_share,long_tail_rank51_plus_share,top10_share,active_nonenergy_products,total_nonenergy_imports,source_file
Georgia,GEO,268,mid,2010,0.1437454961264829,0.2519643649915334,0.2505752665453651,0.35371487233661864,0.6042901388819837,0.20632302931182747,3884,4007761304.0,COMTRADE-FINAL-CA2682010H3[2011-07-20].parquet
Georgia,GEO,268,end,2024,0.2393212857564586,0.23752442070131471,0.21556293541569602,0.3075913581265308,0.5231542935422268,0.3027696062018917,4372,14595584170.843998,COMTRADE-FINAL-CA2682024H6[2026-04-28].parquet
Germany,DEU,276,start,1991,0.1167517310084003,0.1721998624087927,0.20226940353911868,0.5087790030436883,0.711048406582807,0.15601880509935662,4846,322830570840.0,COMTRADE-FINAL-CA2761991H0[2002-09-01].parquet
Germany,DEU,276,mid,2008,0.07137451985445498,0.23268498404051943,0.23788907415329558,0.45805142195173,0.6959404961050256,0.12137622106162692,4561,935596662968.738,COMTRADE-FINAL-CA2762008H3[2019-07-16].parquet
Germany,DEU,276,end,2025,0.07791772684355014,0.2340347160131263,0.24844187132840634,0.4396056858149171,0.6880475571433233,0.12192449054243154,5477,1386631976811.1482,COMTRADE-FINAL-CA2762025H6[2026-05-21].parquet
Greece,GRC,300,start,1988,0.10844474728019118,0.24042108266756756,0.21402427448904093,0.4371098955632003,0.6511341700522413,0.16058326835876802,4615,11599628710.0,COMTRADE-FINAL-CA3001988H0[2002-09-01].parquet
Greece,GRC,300,mid,2007,0.1702667471354033,0.21479829598893163,0.2174463837920977,0.39748857308356733,0.6149349568756651,0.22124469852598094,4477,60625656675.0,COMTRADE-FINAL-CA3002007H3[2008-04-14].parquet
Greece,GRC,300,end,2024,0.09702711690746808,0.22430367769358905,0.24027150247307494,0.43839770292586805,0.6786692053989429,0.15551732321808454,5081,61738730469.882996,COMTRADE-FINAL-CA3002024H6[2025-02-25].parquet
Guyana,GUY,328,start,1991,0.17521255533775465,0.33956134392705695,0.27772487836360615,0.20750122237158233,0.4852261007351884,0.2426898206975831,2238,203906900.0,COMTRADE-FINAL-CA3281991H0[2002-09-01].parquet
Guyana,GUY,328,mid,2010,0.14620876982271375,0.2848102310468303,0.2742990999873811,0.29468189914307485,0.568980999130456,0.21393103997188803,3344,1020575135.0,COMTRADE-FINAL-CA3282010H3[2011-04-14].parquet
Guyana,GUY,328,end,2025,0.36355973808547304,0.23902909402659875,0.19608820205405963,0.20132296583386888,0.39741116788792846,0.42609744877807143,3670,9153411992.497997,COMTRADE-FINAL-CA3282025H5[2026-02-16].parquet
Hungary,HUN,348,start,1992,0.0650660518894242,0.18850776132661928,0.21479207780116072,0.5316341089827958,0.7464261867839564,0.10950099955892374,4091,9036986000.0,COMTRADE-FINAL-CA3481992H0[2002-09-01].parquet
Hungary,HUN,348,mid,2009,0.16666928385302793,0.27550070101556623,0.22038790264766117,0.3374421124837448,0.557830015131406,0.24112710318278122,3940,60624902000.0,COMTRADE-FINAL-CA3482009H3[2010-11-05].parquet
Hungary,HUN,348,end,2025,0.10292002301404812,0.2950610272504996,0.24407572391315618,0.35794322582229615,0.6020189497354522,0.16459745330352157,5135,123931209839.032,COMTRADE-FINAL-CA3482025H6[2026-03-02].parquet
Iceland,ISL,352,start,1988,0.1520354744842359,0.22614958479058533,0.21399812841292132,0.4078168123122575,0.6218149407251788,0.21630796601116692,4241,1653362558.0,COMTRADE-FINAL-CA3521988H0[2002-09-01].parquet
Iceland,ISL,352,mid,2007,0.18137563815956448,0.25691732199007183,0.21778661656295348,0.34392042328741024,0.5617070398503637,0.24766635159893424,4232,6104895769.0,COMTRADE-FINAL-CA3522007H3[2008-04-11].parquet
Iceland,ISL,352,end,2025,0.2419285119376391,0.2696611576593879,0.1957318666072852,0.2926784637956879,0.48841033040297305,0.3477076212017002,4899,9866369586.310999,COMTRADE-FINAL-CA3522025H6[2026-03-02].parquet
India,IND,699,start,1988,0.21498333398236805,0.275691388914858,0.25164929825530363,0.25767597884747034,0.509325277102774,0.26319967777281267,3467,14945914525.0,COMTRADE-FINAL-CA6991988H0[2002-09-01].parquet
India,IND,699,mid,2006,0.24571824989273436,0.2724290468860458,0.18452290226997073,0.2973298009512491,0.4818527032212199,0.3277631055525165,4651,113203014038.0,COMTRADE-FINAL-CA6992006H2[2007-11-21].parquet
India,IND,699,end,2024,0.21793390107293625,0.24818476162063197,0.20979025922552252,0.32409107808090926,0.5338813373064317,0.27314193309936047,4954,481343771584.81,COMTRADE-FINAL-CA6992024H6[2025-04-25].parquet
Ireland,IRL,372,start,1992,0.13037691437674423,0.23031254334444043,0.21669940487577635,0.422611137403039,0.6393105422788153,0.17872307958710992,4583,20699980291.0,COMTRADE-FINAL-CA3721992H0[2002-09-01].parquet
Ireland,IRL,372,mid,2008,0.24714724618579836,0.2103696738639482,0.19893610864447156,0.3435469713057819,0.5424830799502535,0.29666331589247014,4435,70901654578.755,COMTRADE-FINAL-CA3722008H3[2023-02-22].parquet
Ireland,IRL,372,end,2024,0.2705674406442594,0.2653629226788307,0.1880753274926163,0.27599430918429385,0.4640696366769102,0.34558395213855353,5349,135324122954.77296,COMTRADE-FINAL-CA3722024H6[2025-03-21].parquet
Italy,ITA,380,start,1994,0.11811164629763245,0.19817686050620933,0.21290571985340323,0.4708057733427549,0.6837114931961581,0.16189479532234463,4775,139327635469.0,COMTRADE-FINAL-CA3801994H0[2021-02-04].parquet
Italy,ITA,380,mid,2010,0.12451691435710387,0.20495367399529166,0.2188691971617589,0.4516602144858456,0.6705294116476045,0.16797408499172126,4613,369703276223.0,COMTRADE-FINAL-CA3802010H3[2021-02-04].parquet
Italy,ITA,380,end,2025,0.1183320927447057,0.20919283615012063,0.2186320183469891,0.4538430527581847,0.6724750711051738,0.16467111491965564,5454,574668700513.4409,COMTRADE-FINAL-CA3802025H6[2026-05-05].parquet
Japan,JPN,392,start,1988,0.11228453137078574,0.3088535860493621,0.2365705565755873,0.3422913260042649,0.5788618825798522,0.18636345439099333,4544,135686054713.0,COMTRADE-FINAL-CA3921988H0[2005-12-14].parquet
Japan,JPN,392,mid,2007,0.09505712095357531,0.270823579834469,0.25801628083075195,0.37610301838120375,0.6341192992119556,0.15132106103333542,4480,415444702857.0,COMTRADE-FINAL-CA3922007H3[2008-07-02].parquet
Japan,JPN,392,end,2025,0.12316231014151229,0.27003355264202644,0.24621209215663148,0.3605920450598297,0.6068041372164612,0.20247107151328086,4732,538105081803.78,COMTRADE-FINAL-CA3922025H6[2026-02-10].parquet
Korea,KOR,410,start,1988,0.10308462950098514,0.2835553698854758,0.23602703400923114,0.37733296660430793,0.613360000613539,0.16786717277883922,4485,45180498000.0,COMTRADE-FINAL-CA4101988H0[2002-09-01].parquet
Korea,KOR,410,mid,2007,0.13320628155956235,0.2638714795684661,0.2503578508560212,0.35256438801595036,0.6029222388719715,0.1865522572416773,4555,255654820886.0,COMTRADE-FINAL-CA4102007H3[2008-04-04].parquet
Korea,KOR,410,end,2025,0.17227432798031148,0.261824176292183,0.2189671769460848,0.3469343187814208,0.5659014957275056,0.22929138290811088,5339,490597083459.0,COMTRADE-FINAL-CA4102025H6[2026-05-21].parquet
Kyrgyzstan,KGZ,417,start,1995,0.2242832868064443,0.42388065027245975,0.29111885346007216,0.060717209461023845,0.3518360629210959,0.33881173841894197,474,334225011.0,COMTRADE-FINAL-CA4171995H0[2002-09-01].parquet
Kyrgyzstan,KGZ,417,mid,2012,0.1397671859621211,0.30856364012406373,0.25834000036364035,0.2933291735501748,0.5516691739138152,0.21187894046536904,3625,4193923738.0,COMTRADE-FINAL-CA4172012H3[2013-07-12].parquet
Kyrgyzstan,KGZ,417,end,2025,0.12266746143591975,0.32970668641461287,0.2571281283042857,0.2904977238451817,0.5476258521494674,0.20778978279222515,4059,10661818258.0,COMTRADE-FINAL-CA4172025H6[2026-03-11].parquet
Luxembourg,LUX,442,start,1999,0.16369180390163368,0.2950330541850014,0.21791747155861887,0.32335767035474605,0.5412751419133649,0.24358016801378687,4644,10319219941.0,COMTRADE-FINAL-CA4421999H1[2005-06-14].parquet
Luxembourg,LUX,442,mid,2012,0.19804950408508876,0.27934966352947516,0.22032933242428177,0.30227149996115443,0.5226008323854361,0.27472767005133125,4329,18985439814.0,COMTRADE-FINAL-CA4422012H4[2013-05-03].parquet
Luxembourg,LUX,442,end,2025,0.11995337243361276,0.30637377987596676,0.24060977283754348,0.33306307485287695,0.5736728476904204,0.18706994235310695,5076,24490662576.643,COMTRADE-FINAL-CA4422025H6[2026-03-24].parquet
Mauritania,MRT,478,start,2000,0.27460082038162187,0.4339729583836602,0.18676916176409836,0.10465705947061962,0.291426221234718,0.4010188333581742,1582,212969666.0,COMTRADE-FINAL-CA4782000H1[2007-02-05].parquet
Mauritania,MRT,478,mid,2012,0.2238558655089256,0.4363691414702928,0.21869986214329556,0.12107513087748602,0.3397749930207816,0.3378432766961351,2184,2192093604.0,COMTRADE-FINAL-CA4782012H3[2013-09-22].parquet
Mauritania,MRT,478,end,2024,0.2889038121128648,0.34617892623238056,0.20493537647622884,0.15998188517852568,0.3649172616547545,0.3845933998325458,2715,3152299712.197,COMTRADE-FINAL-CA4782024H6[2025-10-10].parquet
Mexico,MEX,484,start,1990,0.06720595104445996,0.19928599801692512,0.23517435417382623,0.49833369676478867,0.7335080509386148,0.10616516688829537,4724,24264584708.0,COMTRADE-FINAL-CA4841990H0[2002-09-01].parquet
Mexico,MEX,484,mid,2008,0.10246126120949547,0.2835700268533831,0.22702026271614806,0.3869484492209733,0.6139687119371214,0.16447560838192196,4537,268437115797.0,COMTRADE-FINAL-CA4842008H3[2009-06-15].parquet
Mexico,MEX,484,end,2025,0.1688509266773292,0.29778465779445895,0.22889073756079703,0.3044736779674148,0.5333644155282119,0.22557760658311796,4127,543315494053.0,COMTRADE-FINAL-CA4842025H6[2026-03-03].parquet
Morocco,MAR,504,start,1993,0.1327019518648374,0.2825038634595575,0.23456350191431108,0.35023068276129393,0.5847941846756051,0.19431330994382048,4331,5754738640.0,COMTRADE-FINAL-CA5041993H0[2002-09-01].parquet
