variant,year,outcome,outcome_label,spearman_log_population,countries
noncommodity_broad,2006,observed_gini,Observed active-product Gini,-0.3365382435832534,147
noncommodity_broad,2006,market_benchmark_gini,World-market benchmark Gini,0.33176299027571043,147
noncommodity_broad,2006,gini_gap,Observed minus benchmark Gini,-0.38582082222003944,147
noncommodity_broad,2007,observed_theil,Observed fixed-universe Theil,-0.5766925671048395,148
noncommodity_broad,2007,market_component_theil,Global-market component,0.06043229916671912,148
noncommodity_broad,2007,specialization_kl,Country-specific specialization (KL),-0.491398808752596,148
noncommodity_broad,2007,market_component_share,Global-market share of observed Theil,0.25905373939889764,148
noncommodity_broad,2007,observed_gini,Observed active-product Gini,-0.3442401448154085,148
noncommodity_broad,2007,market_benchmark_gini,World-market benchmark Gini,0.4041986103347561,148
noncommodity_broad,2007,gini_gap,Observed minus benchmark Gini,-0.433483750837538,148
noncommodity_broad,2008,observed_theil,Observed fixed-universe Theil,-0.519667696771415,147
noncommodity_broad,2008,market_component_theil,Global-market component,0.06055958110752631,147
noncommodity_broad,2008,specialization_kl,Country-specific specialization (KL),-0.4364672192460842,147
noncommodity_broad,2008,market_component_share,Global-market share of observed Theil,0.23753485103778643,147
noncommodity_broad,2008,observed_gini,Observed active-product Gini,-0.3174598976947314,147
noncommodity_broad,2008,market_benchmark_gini,World-market benchmark Gini,0.3748460509712956,147
noncommodity_broad,2008,gini_gap,Observed minus benchmark Gini,-0.3865764002750304,147
noncommodity_broad,2009,observed_theil,Observed fixed-universe Theil,-0.571515332632817,146
noncommodity_broad,2009,market_component_theil,Global-market component,0.01070247655037452,146
noncommodity_broad,2009,specialization_kl,Country-specific specialization (KL),-0.47018210212757755,146
noncommodity_broad,2009,market_component_share,Global-market share of observed Theil,0.23618135019714076,146
noncommodity_broad,2009,observed_gini,Observed active-product Gini,-0.3706380804565568,146
noncommodity_broad,2009,market_benchmark_gini,World-market benchmark Gini,0.3796265412163921,146
noncommodity_broad,2009,gini_gap,Observed minus benchmark Gini,-0.43939151475422483,146
noncommodity_broad,2010,observed_theil,Observed fixed-universe Theil,-0.5720634367375391,151
noncommodity_broad,2010,market_component_theil,Global-market component,0.047818055071453466,151
noncommodity_broad,2010,specialization_kl,Country-specific specialization (KL),-0.4832903450679679,151
noncommodity_broad,2010,market_component_share,Global-market share of observed Theil,0.2570965493203206,151
noncommodity_broad,2010,observed_gini,Observed active-product Gini,-0.3798292087835482,151
noncommodity_broad,2010,market_benchmark_gini,World-market benchmark Gini,0.3943394911118856,151
noncommodity_broad,2010,gini_gap,Observed minus benchmark Gini,-0.4337225514116417,151
noncommodity_broad,2011,observed_theil,Observed fixed-universe Theil,-0.5264920517096778,146
noncommodity_broad,2011,market_component_theil,Global-market component,0.04757791638147938,146
noncommodity_broad,2011,specialization_kl,Country-specific specialization (KL),-0.43953033268101765,146
noncommodity_broad,2011,market_component_share,Global-market share of observed Theil,0.23639343314085204,146
noncommodity_broad,2011,observed_gini,Observed active-product Gini,-0.3725583951105242,146
noncommodity_broad,2011,market_benchmark_gini,World-market benchmark Gini,0.3187317439966067,146
noncommodity_broad,2011,gini_gap,Observed minus benchmark Gini,-0.38658286177012136,146
noncommodity_broad,2012,observed_theil,Observed fixed-universe Theil,-0.5538078826669431,148
noncommodity_broad,2012,market_component_theil,Global-market component,0.07693873849195039,148
noncommodity_broad,2012,specialization_kl,Country-specific specialization (KL),-0.4693544386737101,148
noncommodity_broad,2012,market_component_share,Global-market share of observed Theil,0.2819606347890145,148
noncommodity_broad,2012,observed_gini,Observed active-product Gini,-0.38221717128716176,148
noncommodity_broad,2012,market_benchmark_gini,World-market benchmark Gini,0.39570662293576964,148
noncommodity_broad,2012,gini_gap,Observed minus benchmark Gini,-0.4361897851830738,148
noncommodity_broad,2013,observed_theil,Observed fixed-universe Theil,-0.5777169745555941,151
noncommodity_broad,2013,market_component_theil,Global-market component,0.09355524573021956,151
noncommodity_broad,2013,specialization_kl,Country-specific specialization (KL),-0.4854234925060996,151
noncommodity_broad,2013,market_component_share,Global-market share of observed Theil,0.2916172882537469,151
noncommodity_broad,2013,observed_gini,Observed active-product Gini,-0.3970860927152317,151
noncommodity_broad,2013,market_benchmark_gini,World-market benchmark Gini,0.3561519693272917,151
noncommodity_broad,2013,gini_gap,Observed minus benchmark Gini,-0.4657720460090623,151
noncommodity_broad,2014,observed_theil,Observed fixed-universe Theil,-0.5660110767742862,147
noncommodity_broad,2014,market_component_theil,Global-market component,0.09367278936750562,147
noncommodity_broad,2014,specialization_kl,Country-specific specialization (KL),-0.4755834951529668,147
noncommodity_broad,2014,market_component_share,Global-market share of observed Theil,0.29281294154092585,147
noncommodity_broad,2014,observed_gini,Observed active-product Gini,-0.35089800451835673,147
noncommodity_broad,2014,market_benchmark_gini,World-market benchmark Gini,0.3574526441454035,147
noncommodity_broad,2014,gini_gap,Observed minus benchmark Gini,-0.402764660103212,147
noncommodity_broad,2015,observed_theil,Observed fixed-universe Theil,-0.5256405412961187,147
noncommodity_broad,2015,market_component_theil,Global-market component,0.009894294630106763,147
noncommodity_broad,2015,specialization_kl,Country-specific specialization (KL),-0.4323984314199578,147
noncommodity_broad,2015,market_component_share,Global-market share of observed Theil,0.22909126627326235,147
noncommodity_broad,2015,observed_gini,Observed active-product Gini,-0.314222245729095,147
noncommodity_broad,2015,market_benchmark_gini,World-market benchmark Gini,0.39718849405737866,147
noncommodity_broad,2015,gini_gap,Observed minus benchmark Gini,-0.3959946807304928,147
noncommodity_broad,2016,observed_theil,Observed fixed-universe Theil,-0.5614366043896245,149
noncommodity_broad,2016,market_component_theil,Global-market component,0.04288409214583711,149
noncommodity_broad,2016,specialization_kl,Country-specific specialization (KL),-0.44668601487393433,149
noncommodity_broad,2016,market_component_share,Global-market share of observed Theil,0.23511336840195898,149
noncommodity_broad,2016,observed_gini,Observed active-product Gini,-0.3779212769816797,149
noncommodity_broad,2016,market_benchmark_gini,World-market benchmark Gini,0.3884491202612009,149
noncommodity_broad,2016,gini_gap,Observed minus benchmark Gini,-0.4360203156176311,149
noncommodity_broad,2017,observed_theil,Observed fixed-universe Theil,-0.5389316803717237,146
noncommodity_broad,2017,market_component_theil,Global-market component,0.04582341202895897,146
noncommodity_broad,2017,specialization_kl,Country-specific specialization (KL),-0.4318683543327582,146
noncommodity_broad,2017,market_component_share,Global-market share of observed Theil,0.21494991950488274,146
noncommodity_broad,2017,observed_gini,Observed active-product Gini,-0.3279515679677634,146
noncommodity_broad,2017,market_benchmark_gini,World-market benchmark Gini,0.45411392710130827,146
noncommodity_broad,2017,gini_gap,Observed minus benchmark Gini,-0.42627707672582504,146
noncommodity_broad,2018,observed_theil,Observed fixed-universe Theil,-0.5562112294010533,147
noncommodity_broad,2018,market_component_theil,Global-market component,0.04681939417751551,147
noncommodity_broad,2018,specialization_kl,Country-specific specialization (KL),-0.4405888975360599,147
noncommodity_broad,2018,market_component_share,Global-market share of observed Theil,0.21050026823020954,147
noncommodity_broad,2018,observed_gini,Observed active-product Gini,-0.36569977861562986,147
noncommodity_broad,2018,market_benchmark_gini,World-market benchmark Gini,0.3411057129256738,147
noncommodity_broad,2018,gini_gap,Observed minus benchmark Gini,-0.38631950373633356,147
noncommodity_broad,2019,observed_theil,Observed fixed-universe Theil,-0.5761545438055505,149
noncommodity_broad,2019,market_component_theil,Global-market component,0.05345546889171051,149
noncommodity_broad,2019,specialization_kl,Country-specific specialization (KL),-0.46617449664429533,149
noncommodity_broad,2019,market_component_share,Global-market share of observed Theil,0.2404317068746599,149
noncommodity_broad,2019,observed_gini,Observed active-product Gini,-0.41472156720478864,149
noncommodity_broad,2019,market_benchmark_gini,World-market benchmark Gini,0.4264756031198984,149
noncommodity_broad,2019,gini_gap,Observed minus benchmark Gini,-0.47649918374750594,149
noncommodity_broad,2020,observed_theil,Observed fixed-universe Theil,-0.5734529995276334,145
noncommodity_broad,2020,market_component_theil,Global-market component,0.06686348606518658,145
noncommodity_broad,2020,specialization_kl,Country-specific specialization (KL),-0.45555030703826166,145
noncommodity_broad,2020,market_component_share,Global-market share of observed Theil,0.2440403086128169,145
noncommodity_broad,2020,observed_gini,Observed active-product Gini,-0.4261730436151787,145
