country,iso3,reporter_code,base_window,future_window,base_year,base_year_2,future_year,future_year_2,horizon,channel_type,channel_type_label,total_positive_expansion_2024_usd,total_net_growth_2024_usd,below_threshold_product_residual_positive_expansion_share,dying_product_cells_positive_expansion_share,existing_product_below_threshold_product_specific_partner_residual_positive_expansion_share,existing_product_lost_product_specific_partner_positive_expansion_share,existing_product_to_existing_product_specific_partner_positive_expansion_share,existing_product_to_new_product_specific_partner_positive_expansion_share,existing_reporter_partner_existing_product_positive_expansion_share,existing_reporter_partner_new_product_positive_expansion_share,lost_reporter_partner_positive_expansion_share,net_new_product_positive_expansion_share,new_reporter_partner_existing_product_positive_expansion_share,new_reporter_partner_new_product_positive_expansion_share,reporter_partner_product_residual_positive_expansion_share,below_threshold_product_residual_net_growth_share,dying_product_cells_net_growth_share,existing_product_below_threshold_product_specific_partner_residual_net_growth_share,existing_product_lost_product_specific_partner_net_growth_share,existing_product_to_existing_product_specific_partner_net_growth_share,existing_product_to_new_product_specific_partner_net_growth_share,existing_reporter_partner_existing_product_net_growth_share,existing_reporter_partner_new_product_net_growth_share,lost_reporter_partner_net_growth_share,net_new_product_net_growth_share,new_reporter_partner_existing_product_net_growth_share,new_reporter_partner_new_product_net_growth_share,reporter_partner_product_residual_net_growth_share
France,FRA,251,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,286410728774.6356,7420282485.474144,4.8918303219156565e-05,1.850177414286815e-05,0.016940224210377105,0.0010170490899621418,0.4149413834791834,0.08234177910891001,,,,0.4846921440342054,,,,-0.0015736266990046036,-21.322120817134884,0.011080308590800126,-1.5303837848014281,2.009394039616326,3.1257132210845584,,,,18.70789065934363,,,
Georgia,GEO,268,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,4065124568.522732,2158378714.072206,,,,,,,0.8551123235873357,0.07550922114091063,0.0009965826839252714,,0.005349675408480608,4.16547858975527e-05,0.06299054239345038,,,,,,,0.9292558242058575,0.13746804629482143,-0.00874705668767666,,0.009440013270760049,7.595931784570238e-05,-0.06749278640160815
Georgia,GEO,268,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,4065124568.522732,2158378714.072206,0.05300219481950609,0.009260281446110958,0.03525020290228209,0.0035187266011078235,0.6479825868802034,0.17540242136675976,,,,0.07558358598403002,,,,0.07015376881509125,-0.13633509571284907,0.009647563434214301,-0.3041512978581516,0.8967090583796125,0.3263780152235139,,,,0.13759798771856874,,,
Germany,DEU,276,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,617790908512.8405,-98884948855.28162,,,,,,,0.3362546531654967,0.6615927629109902,1.7640232174020804e-06,,0.0005274241313868804,0.000773109425683033,0.0008502863432255478,,,,,,,0.8727376631097242,-4.1306546920194105,0.1531852620288493,,-0.0032938559882431445,-0.0048300573545480546,4.112855680223629
Germany,DEU,276,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,617790908512.8405,-98884948855.28162,0.0007953247513988033,5.481867701991211e-05,0.006246220417022344,0.0005223596595780336,0.2947094684223417,0.03530542316404847,,,,0.6623663849085908,,,,-0.002126518747735543,4.114998391957395,0.02280369431445625,0.4128622664995472,0.8028287411982267,-0.2158831489021456,,,,-4.135483426319744,,,
Greece,GRC,300,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,28326567410.478336,11736638789.55125,,,,,,,0.6218408374873355,0.3724014962631607,3.188464527641979e-06,,0.00292503764885884,4.038702606458645e-05,0.002789053110052706,,,,,,,0.49056078638828116,0.8951595195503257,-5.089591237191318e-05,,0.006981296553301702,9.70841850456038e-05,-0.39274779076458205
Greece,GRC,300,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,28326567410.478336,11736638789.55125,0.0023275270670512173,0.00043613457800750695,0.040203462203447116,0.0015669396738907078,0.4649873225197306,0.11801939397845697,,,,0.37245921997941583,,,,0.001693226247248735,-0.3933909118251784,0.025489866678569523,-0.17405997537797607,0.3656068837746989,0.2793625251170896,,,,0.8952983853855477,,,
Guyana,GUY,328,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,16044030677.050896,15012725548.892027,,,,,,,0.038160458327808976,0.8847739680428232,0.02206561212320604,,0.0005265311118428481,0.028775897468373376,0.025697532925945496,,,,,,,-0.013774883252060168,0.9445736222963008,0.015469749452453899,,0.000554390299845571,0.03075098692206625,0.022426134281393523
Guyana,GUY,328,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,16044030677.050896,15012725548.892027,0.015558715092555783,2.618191808358409e-05,0.001827330867281349,0.0026303156923623613,0.018664710036333323,0.016076605153255152,,,,0.9452161412401282,,,,0.01311033817336758,-0.0013069597125723296,-0.005508491906964602,-0.012427089709119163,-0.020164294966524235,0.017148718235909865,,,,1.0091477798859028,,,
Hungary,HUN,348,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,71595973463.98824,10826829722.48239,,,,,,,0.5854210285123087,0.413721121602315,1.040203948850621e-06,,9.912221055849995e-06,1.2340342683643066e-05,0.0008345571176880567,,,,,,,0.707296633830415,2.7314245196209073,-0.007986632458279628,,-4.125387925351438e-05,8.160457585104201e-05,-2.4307748716896405
Hungary,HUN,348,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,71595973463.98824,10826829722.48239,0.0005950111283737032,0.00022421466382394558,0.01583867358694484,0.00146264708748026,0.5004040282541956,0.0677349711420777,,,,0.4137404541371039,,,,-0.0003054633493803686,-2.430529731502987,0.007108772143042419,-0.4140450507323976,0.6667078145081198,0.43951129656618315,,,,2.73155236236742,,,
Iceland,ISL,352,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,2676771159.5076556,460516666.73317015,,,,,,,0.5603378099203248,0.4042662635330217,0.0005702639180357298,,0.0010114319332767902,0.0009869070256398214,0.03282732366970125,,,,,,,0.7587187481280504,2.3452720534323945,-0.20754822939942424,,0.005579931099056528,0.005728111723546041,-1.907750614983623
Iceland,ISL,352,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,2676771159.5076556,460516666.73317015,0.03166009359414187,0.0005778911342708726,0.026687106761719218,0.0008921259626195398,0.4962910317277332,0.03837007887989584,,,,0.40552167193961947,,,,-0.11974841459149527,-1.8105415435916163,-0.02588464763521273,-0.5189263178389483,0.9030734899516502,0.21957104142161932,,,,2.3524563922840036,,,
India,IND,699,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,207331048798.09924,60941555731.82537,,,,,,,0.6553045039219969,0.3442583151239377,3.0839316001525003e-06,,1.7651741297918626e-05,9.154441627493029e-07,0.0004155298370044139,,,,,,,0.5189375350576627,1.1701164972270408,-2.199671649860067e-05,,5.505664948832772e-05,3.114459355355643e-06,-0.6890902066770486
India,IND,699,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,207331048798.09924,60941555731.82537,0.00025165885883481466,0.00016018430175923496,0.023373962073535995,0.0021947537757331433,0.5239616756119634,0.10579697891533846,,,,0.3442607864628348,,,,0.00020973200124117106,-0.6893088197018903,0.0026756546516537136,-0.2299306546141931,0.3950624355692516,0.35116674705256795,,,,1.170124905041369,,,
Ireland,IRL,372,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,172395560108.62134,28334846970.517746,,,,,,,0.20244839959976388,0.7949243639196009,9.307523422843382e-06,,0.0015474349066914583,0.0007074307520460915,0.00036306329847490343,,,,,,,-0.09807104062015602,4.835939099701577,-3.770336933630792e-05,,0.009402029267412258,0.004303845919783601,-3.7515362308992826
Ireland,IRL,372,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,172395560108.62134,28334846970.517746,0.00032734920098651606,2.9325619834508e-05,0.006585807304889594,0.0004650799731334996,0.1627524013938187,0.034204729738167676,,,,0.7956353067691696,,,,-0.0003453003208946353,-3.751197727511702,0.004473908436654493,-0.11522081090303009,-0.18063455810566506,0.2026601812722652,,,,4.840264307132371,,,
Italy,ITA,380,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,256621621836.67258,16770957842.047314,,,,,,,0.47533100074752827,0.523901045274898,4.746125118507777e-07,,2.2294067447700948e-07,3.303333770221728e-08,0.0007672233910495322,,,,,,,0.25251930784290116,8.01531102637337,-0.0004799550543819616,,3.3532485469782897e-06,5.054612131078295e-07,-7.267354237871649
Italy,ITA,380,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,256621621836.67258,16770957842.047314,0.0005284386701662389,0.0002350474973564818,0.016577965857187755,0.0011930506191850843,0.3869776342345871,0.0705849241791972,,,,0.5239029389423202,,,,-0.15500228697734275,-7.112171045847144,-0.04279279268798665,-0.6635519516527494,-0.08956542655826204,1.0477446020212893,,,,8.015338901702197,,,
