model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,turning_point_log_income_pc,turning_point_ppp_constant_2021_intl_usd
mechanical_variant_common_sample,rd2_countries,Exports,product,native_hs6_excluding_section16,product_gini_no_section16,log_population,-0.014515230612511176,0.0021945729396130515,-6.6141481791307015,1.741976837186817e-08,-0.018915084445559362,-0.01011537677946299,1375,55,0.5974461673213178,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",39.88498215939365,2.0981071444924054e+17
mechanical_variant_common_sample,rd2_countries,Exports,product,native_hs6_excluding_section16,product_gini_no_section16,oil_export_share,0.07869828367757167,0.01492442865552239,5.27311868976984,2.418510307503412e-06,0.04877660577807451,0.10861996157706884,1375,55,0.5974461673213178,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",39.88498215939365,2.0981071444924054e+17
mechanical_variant_common_sample,rd2_countries,Exports,product,native_hs4,product_gini_hs4,log_income_pc,-0.035610969271152704,0.04219970257833372,-0.8438677785714106,0.4024661733295849,-0.12021627893815012,0.048994340395844715,1375,55,0.607127482912053,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",41.29618921347112,8.604132684742765e+17
mechanical_variant_common_sample,rd2_countries,Exports,product,native_hs4,product_gini_hs4,log_income_pc_sq,0.00043116531996536064,0.002293342593556111,0.18800737455313452,0.8515755905644549,-0.0041667097465747675,0.0050290403865054885,1375,55,0.607127482912053,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",41.29618921347112,8.604132684742765e+17
mechanical_variant_common_sample,rd2_countries,Exports,product,native_hs4,product_gini_hs4,log_population,-0.0175299275457532,0.002192472333126566,-7.9955068444374495,1.0030621511522875e-10,-0.021925569916363997,-0.013134285175142403,1375,55,0.607127482912053,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",41.29618921347112,8.604132684742765e+17
mechanical_variant_common_sample,rd2_countries,Exports,product,native_hs4,product_gini_hs4,oil_export_share,0.09029788404479351,0.017003455135142214,5.3105609023055935,2.113697705251757e-06,0.05620800901671203,0.124387759072875,1375,55,0.607127482912053,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",41.29618921347112,8.604132684742765e+17
mechanical_variant_common_sample,rd2_countries,Exports,product,native_hs2,product_gini_hs2,log_income_pc,-0.1640835570430705,0.06781518444121462,-2.419569575679704,0.018936061322236374,-0.3000448157539147,-0.028122298332226348,1375,55,0.39749797482755156,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",11.117348005115492,67329.11283722804
mechanical_variant_common_sample,rd2_countries,Exports,product,native_hs2,product_gini_hs2,log_income_pc_sq,0.00737961773651278,0.0036281352213133706,2.0339974356968393,0.04687667001206994,0.00010564457655601149,0.014653590896469549,1375,55,0.39749797482755156,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",11.117348005115492,67329.11283722804
mechanical_variant_common_sample,rd2_countries,Exports,product,native_hs2,product_gini_hs2,log_population,-0.017729286244743677,0.0040999522777984574,-4.324266489819665,6.634045624795128e-05,-0.02594919564906125,-0.009509376840426104,1375,55,0.39749797482755156,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",11.117348005115492,67329.11283722804
mechanical_variant_common_sample,rd2_countries,Exports,product,native_hs2,product_gini_hs2,oil_export_share,0.11298371920206779,0.032329136900195315,3.4947954085772452,0.0009559741555460127,0.04816770222586997,0.1777997361782656,1375,55,0.39749797482755156,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",11.117348005115492,67329.11283722804
mechanical_variant_common_sample,rd2_countries,Exports,product,hs6_lumpy_commodity_excluded,product_gini_full_exclusion,log_income_pc,-0.034438874494935566,0.0332040322393441,-1.0371895270637725,0.3042698102488145,-0.10100895101592505,0.03213120202605393,1375,55,0.38739643912336796,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",24.77891020677663,57722345553.22146
mechanical_variant_common_sample,rd2_countries,Exports,product,hs6_lumpy_commodity_excluded,product_gini_full_exclusion,log_income_pc_sq,0.0006949231061323491,0.0018403092206434365,0.3776121416646381,0.7071989066134738,-0.0029946747341971815,0.00438452094646188,1375,55,0.38739643912336796,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",24.77891020677663,57722345553.22146
mechanical_variant_common_sample,rd2_countries,Exports,product,hs6_lumpy_commodity_excluded,product_gini_full_exclusion,log_population,-0.013999105804415797,0.0024846438285879495,-5.6342505285241,6.534016672090528e-07,-0.018980516754876053,-0.009017694853955541,1375,55,0.38739643912336796,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",24.77891020677663,57722345553.22146
mechanical_variant_common_sample,rd2_countries,Exports,product,hs6_lumpy_commodity_excluded,product_gini_full_exclusion,oil_export_share,0.03172137097547941,0.012487187830249071,2.540313432191457,0.013984016226998582,0.006686066726899087,0.056756675224059736,1375,55,0.38739643912336796,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",24.77891020677663,57722345553.22146
mechanical_variant_common_sample,rd2_countries,Exports,product,hs2_preserving_benchmark_residual,actual_minus_sim_median_gini,log_income_pc,0.11004710534590449,0.06710827017253343,1.6398441661955605,0.10685094606085341,-0.024496875589136144,0.2445910862809451,1375,55,0.4459328092103044,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",11.954504098236086,155516.03095347199
