model_label,outcome,term,coef,std_error,t_stat,p_value,nobs,candidate_rows,clusters,reporter_clusters,product_clusters,fixed_effects,cluster_col,se_method,status,screen,prody_spec,mismatch_definition,threshold_definition
old_cone_exit_hs4_lpm,exit_next_window,mismatch_log_income_minus_prody,0.005444462822034874,0.007467010405889081,0.7291355610996518,0.4675735027418477,1247167,1273562,104,104,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_a,screen_loo_level,mismatch_world_broad_loo_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,rich_side_ct,-0.011917989229379668,0.007261681725758699,-1.6412161369044964,0.103802732739251,1247167,1273562,104,104,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_a,screen_loo_level,mismatch_world_broad_loo_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,mismatch_x_rich_side,0.023071566388001803,0.0054937995386577215,4.199564659332071,5.694832139149711e-05,1247167,1273562,104,104,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_a,screen_loo_level,mismatch_world_broad_loo_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,mismatch_log_income_minus_prody,-0.003190103211871355,0.007472260810124993,-0.4269261061590263,0.6703242228350572,1247167,1273562,104,104,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_a,screen_full_level,mismatch_world_broad_full_level,screen_income_p75
old_cone_exit_hs4_lpm,exit_next_window,rich_side_ct,-0.022843753830993373,0.006056096116395612,-3.772026300763076,0.0002705992327706425,1247167,1273562,104,104,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_a,screen_full_level,mismatch_world_broad_full_level,screen_income_p75
old_cone_exit_hs4_lpm,exit_next_window,mismatch_x_rich_side,0.029291897885971273,0.005258121044045505,5.570791855227928,2.0368098326836198e-07,1247167,1273562,104,104,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_a,screen_full_level,mismatch_world_broad_full_level,screen_income_p75
old_cone_exit_hs4_lpm,exit_next_window,mismatch_log_income_minus_prody,-0.003190103211871355,0.007597234905732207,-0.41990319523546427,0.6754307829458039,1247167,1273562,104,104,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_a,screen_full_level,mismatch_world_broad_full_level,screen_income_p75
old_cone_exit_hs4_lpm,exit_next_window,rich_side_ct,-0.022843753830993373,0.006190549754092916,-3.6901009988474933,0.00036028316397988905,1247167,1273562,104,104,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_a,screen_full_level,mismatch_world_broad_full_level,screen_income_p75
old_cone_exit_hs4_lpm,exit_next_window,mismatch_x_rich_side,0.029291897885971273,0.0058444617460068765,5.01190685455071,2.2473655468513655e-06,1247167,1273562,104,104,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_a,screen_full_level,mismatch_world_broad_full_level,screen_income_p75
old_cone_exit_hs4_lpm,exit_next_window,mismatch_log_income_minus_prody,-0.0008600411816980438,0.007618588916734282,-0.11288720143555162,0.9103485754814156,1160974,1187369,100,100,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_b,screen_full_level,mismatch_world_broad_full_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,rich_side_ct,-0.01709118092327581,0.007444459036772378,-2.2958257730820786,0.02379467137739045,1160974,1187369,100,100,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_b,screen_full_level,mismatch_world_broad_full_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,mismatch_x_rich_side,0.02721948022294255,0.005248272343579078,5.186369616707072,1.138923593915529e-06,1160974,1187369,100,100,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_b,screen_full_level,mismatch_world_broad_full_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,mismatch_log_income_minus_prody,-0.0008600411816980438,0.007741622418046923,-0.11109314498381559,0.911767399955338,1160974,1187369,100,100,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_b,screen_full_level,mismatch_world_broad_full_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,rich_side_ct,-0.01709118092327581,0.007625743501961665,-2.2412478099845914,0.027243294427439068,1160974,1187369,100,100,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_b,screen_full_level,mismatch_world_broad_full_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,mismatch_x_rich_side,0.02721948022294255,0.005970200144198694,4.5592240738180285,1.4708239560495409e-05,1160974,1187369,100,100,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_b,screen_full_level,mismatch_world_broad_full_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,mismatch_log_income_minus_prody,0.005769006722845152,0.007703185239601996,0.7489118518384769,0.455686039930038,1160974,1187369,100,100,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_b,screen_loo_level,mismatch_world_broad_loo_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,rich_side_ct,-0.01569229795814324,0.007423903021990795,-2.113753090747566,0.037049575165472845,1160974,1187369,100,100,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_b,screen_loo_level,mismatch_world_broad_loo_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,mismatch_x_rich_side,0.024204138566039656,0.004971514194309139,4.868564710877418,4.258433415077652e-06,1160974,1187369,100,100,1241,"reporter_code,product_id,base_year",reporter_code,cluster_reporter,ok,screen_b,screen_loo_level,mismatch_world_broad_loo_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,mismatch_log_income_minus_prody,0.005769006722845152,0.007817429799803816,0.7379671926174418,0.462280082421513,1160974,1187369,100,100,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_b,screen_loo_level,mismatch_world_broad_loo_level,fixed_39308
old_cone_exit_hs4_lpm,exit_next_window,rich_side_ct,-0.01569229795814324,0.0076141862405046945,-2.0609290950444494,0.04193162571551659,1160974,1187369,100,100,1241,"reporter_code,product_id,base_year",reporter_code+product_id,cluster_reporter_product,ok,screen_b,screen_loo_level,mismatch_world_broad_loo_level,fixed_39308
