country,iso3,reporter_code,base_window,future_window,base_year,base_year_2,future_year,future_year_2,horizon,channel_type,channel_type_label,total_positive_expansion_2024_usd,total_net_growth_2024_usd,below_threshold_product_residual_positive_expansion_share,dying_product_cells_positive_expansion_share,existing_product_below_threshold_product_specific_partner_residual_positive_expansion_share,existing_product_lost_product_specific_partner_positive_expansion_share,existing_product_to_existing_product_specific_partner_positive_expansion_share,existing_product_to_new_product_specific_partner_positive_expansion_share,existing_reporter_partner_existing_product_positive_expansion_share,existing_reporter_partner_new_product_positive_expansion_share,lost_reporter_partner_positive_expansion_share,net_new_product_positive_expansion_share,new_reporter_partner_existing_product_positive_expansion_share,new_reporter_partner_new_product_positive_expansion_share,reporter_partner_product_residual_positive_expansion_share,below_threshold_product_residual_net_growth_share,dying_product_cells_net_growth_share,existing_product_below_threshold_product_specific_partner_residual_net_growth_share,existing_product_lost_product_specific_partner_net_growth_share,existing_product_to_existing_product_specific_partner_net_growth_share,existing_product_to_new_product_specific_partner_net_growth_share,existing_reporter_partner_existing_product_net_growth_share,existing_reporter_partner_new_product_net_growth_share,lost_reporter_partner_net_growth_share,net_new_product_net_growth_share,new_reporter_partner_existing_product_net_growth_share,new_reporter_partner_new_product_net_growth_share,reporter_partner_product_residual_net_growth_share
Netherlands,NLD,528,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,209859494183.36127,74416963847.07251,,,,,,,0.7572587997934968,0.2427056732596398,4.458386594408497e-07,,9.583436897324716e-06,2.322999392179289e-07,2.5265371367505554e-05,,,,,,,0.34829379277215455,0.6844127866983059,-8.307380326212559e-06,,2.6296546183601307e-05,6.550972415816708e-07,-0.032725223733559065
Netherlands,NLD,528,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,209859494183.36127,74416963847.07251,2.0019797481808684e-05,2.801017071815405e-06,0.014587821948205109,0.0007625635503376103,0.7058482866667619,0.036072548187979114,,,,0.2427059588321627,,,,4.533333100225182e-05,-0.03276870431463262,0.01686202177857248,-0.10075219153991886,0.33556875693770943,0.09663119178041674,,,,0.6844135920268507,,,
New Zealand,NZL,554,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,15128227181.683035,7474019965.758194,,,,,,,0.29686484892510734,0.6916666651449138,5.0894683772753144e-05,,0.0003202615044782182,0.0035370244732940296,0.0075603052684336475,,,,,,,-0.34391952825017474,1.3465989137021168,-0.0007408247968253313,,0.00048244932187929554,0.006355717036035372,-0.008776727013031354
New Zealand,NZL,554,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,15128227181.683035,7474019965.758194,0.004588493998383395,0.00293537286822764,0.022168057370774562,0.0009724313830918725,0.2135666143611845,0.06055288864557146,,,,0.6952161413727665,,,,0.007922300918594426,-0.0161300823880648,-0.007593115681325367,-0.12713391527594547,-0.32741112932397504,0.1179127176640649,,,,1.3524332240866515,,,
Niger,NER,562,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,511944156.6839611,-211584621.56021833,,,,,,,0.2101679551754928,0.005777196528750245,0.01801981943586242,,0.01141353004429632,0.000617873432730438,0.7540036253828678,,,,,,,1.1330079664192214,0.027734566029105477,0.08115718373397557,,-0.02680075072903677,-0.0014949890550839606,-0.21360397639818143
Niger,NER,562,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,511944156.6839611,-211584621.56021833,0.7455760910584219,0.0195259905614649,0.0530768743896859,0.003680772266891312,0.0938813902421179,0.07779610309147773,,,,0.006462778389940551,,,,-1.7087665335636517,0.9708604607416361,0.7261028700320722,0.1599947953764204,1.0084934926295008,-0.18304810464945453,,,,0.02636301943347658,,,
North Macedonia,MKD,807,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,2813741427.500568,326683642.37174284,,,,,,,0.97259409811686,0.021576453654572652,0.00015104461633895467,,0.001481072020761941,0.00011838613925058575,0.004078945452215956,,,,,,,0.9051722829557641,0.1814001706254017,-0.005117839662137117,,-0.008756063906506741,0.0009632729304059041,-0.07366182294292663
North Macedonia,MKD,807,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,2813741427.500568,326683642.37174284,0.003074443486615058,0.0003542795077997999,0.04485031112560504,0.001145754389422884,0.7234294762765435,0.20540055371441737,,,,0.021745181499596523,,,,-0.014420384102365697,-0.062224054462414,0.0710682769943669,-1.2496940239502659,0.3152024853984524,1.757326151975867,,,,0.18274154814636095,,,
Norway,NOR,579,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_partner_first,Partner-first: reporter-partner status,61039768812.0683,40382782167.39132,,,,,,,0.9934662354145471,0.006157790714110645,1.6467966084769176e-05,,9.637791136083298e-06,4.268790742020028e-09,0.00034986384533075224,,,,,,,1.007436348326851,0.009155738228028794,-3.069663115363393e-05,,6.672452649769924e-06,6.452403376268719e-09,-0.01656806882877962
Norway,NOR,579,2018-2019,2023-2024,2018,2019,2023,2024,5,combined_product_first,Product-first: product-specific partner status,61039768812.0683,40382782167.39132,0.00023625895416009597,2.3427135607552048e-05,0.02045293350213311,0.007631849868998543,0.8462026050395488,0.11929486925807821,,,,0.006158056241473584,,,,0.00022429621173882506,-0.016888795190930894,-0.008806914015428598,-0.07672494878614831,0.919328230108661,0.17371199209162203,,,,0.009156139580485882,,,
