flow,horizon,example_type,country,iso3,year,future_year,concentration_bucket,annualized_real_export_growth_log,base_exports,future_exports,base_exports_constant_2015_usd,future_exports_constant_2015_usd,product_gini,partner_gini,product_partner_cell_gini
Imports,5,fastest_growth,Rwanda,RWA,1996,2001,high_product_low_partner,0.5729025620354584,9757476.0,186706568.0,15082003.65273988,264545969.02934158,0.8989788889387449,0.8541000957635596,0.8858163977679041
Imports,5,fastest_growth,Azerbaijan,AZE,2003,2008,high_product_low_partner,0.5562634844155937,2588603121.0,47752588281.0,3541763433.7650394,57165019855.007835,0.9104404327077931,0.8578506117136968,0.9387349247128762
Imports,5,fastest_growth,Guyana,GUY,2019,2024,high_product_high_partner,0.5069252184453973,1486517190.8760002,22409479415.308,1517472339.1549134,19137927672.865437,0.928520697040303,0.9330872431802568,0.9544903997732923
Imports,5,fastest_growth,Guyana,GUY,2017,2022,high_product_high_partner,0.47541891435949635,1789689907.669,22560253323.912003,1898679820.283917,20455532525.27852,0.8943435373604802,0.9053276122307914,0.9289579796601981
Imports,5,fastest_growth,Panama,PAN,2004,2009,high_product_low_partner,0.47477591073166747,891105142.0,10716632950.0,1187294707.4062452,12750326991.480354,0.875539085305322,0.8461219432998324,0.9198515435615466
Imports,5,slowest_growth,Panama,PAN,2019,2024,high_product_low_partner,-0.47611644556739774,10476801467.0,1158357714.0,10694969776.717701,989249492.9933231,0.8921520905995606,0.8665007980742243,0.9411295289556822
Imports,5,slowest_growth,Panama,PAN,2018,2023,high_product_low_partner,-0.2790760027815821,11478703477.0,3366813480.0,11894294952.059982,2946679241.529728,0.8955219645429049,0.8584916732178813,0.9435482977145524
Imports,5,slowest_growth,Panama,PAN,2017,2022,high_product_low_partner,-0.2535473601267462,11089526431.0,3652153568.0,11764864941.585735,3311432058.1831865,0.8878292253368529,0.852130190069929,0.9381502634243288
Imports,5,slowest_growth,Panama,PAN,2016,2021,high_product_low_partner,-0.23162202700312945,10842217254.0,3781922651.0,11696321621.728062,3673571193.0216475,0.8897867395057089,0.8474629597954011,0.9386235118220676
Imports,5,slowest_growth,Niger,NER,2017,2022,high_product_low_partner,-0.17576072009382884,870777712.4619999,423111547.09499997,923807003.3919923,383638068.6492173,0.934362031430078,0.8834268563207184,0.9471035926650175
Imports,10,fastest_growth,Azerbaijan,AZE,1998,2008,high_product_low_partner,0.4139376066340425,606149410.0,47752588281.0,910798222.8251388,57165019855.007835,0.8829487889286629,0.8419317821112189,0.9007811999688069
Imports,10,fastest_growth,Panama,PAN,2002,2012,high_product_low_partner,0.2883778726514784,759613136.0,16761427112.0,1059831546.9918301,18951606507.90213,0.8743278478510956,0.8484542064947087,0.9231457546116391
Imports,10,fastest_growth,Panama,PAN,2001,2011,high_product_low_partner,0.2770778651693352,809002777.0,15895615039.0,1146282243.208998,18307348290.62704,0.8727168238194003,0.8620210064866414,0.9182037661807876
Imports,10,fastest_growth,Panama,PAN,2003,2013,high_product_low_partner,0.2761446652239087,801050838.0,15564079695.0,1096009096.025208,17341841062.487553,0.866772178162198,0.8450464923529608,0.9157678527375384
Imports,10,fastest_growth,Guyana,GUY,2014,2024,high_product_low_partner,0.26992776859709267,1174049882.0,22409479415.308,1287103599.3335202,19137927672.865437,0.9038344802985077,0.8954635265049122,0.9336489307130347
Imports,10,slowest_growth,Panama,PAN,2014,2024,high_product_low_partner,-0.2725693627268392,13776299709.0,1158357714.0,15102871873.50633,989249492.9933231,0.8945630461678982,0.8604302691028263,0.9422240554646568
Imports,10,slowest_growth,Panama,PAN,2013,2023,high_product_low_partner,-0.17724432845637422,15564079695.0,3366813480.0,17341841062.487553,2946679241.529728,0.8989594325981645,0.8640179112983177,0.941988581011354
Imports,10,slowest_growth,Panama,PAN,2012,2022,high_product_low_partner,-0.17445079622762522,16761427112.0,3652153568.0,18951606507.90213,3311432058.1831865,0.9001294929568064,0.8700807294815212,0.9432106959504043
Imports,10,slowest_growth,Panama,PAN,2011,2021,high_product_low_partner,-0.16061382591338252,15895615039.0,3781922651.0,18307348290.62704,3673571193.0216475,0.9042895242304168,0.8870231910466375,0.9449266035841715
Imports,10,slowest_growth,Niger,NER,2013,2023,high_product_low_partner,-0.1292499605702094,1337151358.0,467426222.43700004,1489883551.1857994,409097550.1861675,0.9205801444896675,0.8769329539640174,0.9408589221559152
