model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,variant,model_description,outcome_sd,outcome_label,bh_q_value,effect_of_population_doubling,effect_of_population_doubling_sd,doubling_ci_low_sd,doubling_ci_high_sd
exclude_top5_population_year_fe,cadot_broad_156,Exports,product,gini_gap,gini_gap,log_population,-0.007211770940501561,0.0015905996944743477,-4.53399492377299,1.1811713314265052e-05,-0.01035481689719531,-0.004068724983807812,3490,150,0.16258614007502792,ok,3490,0,,year,clustered by reporter_code,reporter_code,"Student t, df=149",baseline,Excludes five largest average-population reporters,0.04641385440986278,Observed minus benchmark Gini,,-0.004998818694252802,-0.1077010034570749,-0.1546394331770954,-0.06076257373705439
exclude_top5_population_year_fe,cadot_broad_156,Exports,product,gini_gap,gini_gap,log_gdp_per_capita,-0.00942967798959917,0.0022730613365413302,-4.148448542944857,5.603482112873678e-05,-0.013921277144277832,-0.00493807883492051,3490,150,0.16258614007502792,ok,3490,0,,year,clustered by reporter_code,reporter_code,"Student t, df=149",baseline,Excludes five largest average-population reporters,0.04641385440986278,Observed minus benchmark Gini,,,,-0.20790115634738798,-0.07374555432484303
country_year_fe_diagnostic,cadot_broad_156,Exports,product,observed_theil,observed_theil,log_population,-0.21738605583726386,0.2579113922464297,-0.8428710881819264,0.4006077304019289,-0.7268869313004842,0.2921148196259564,3589,155,0.9355995799169213,ok,3589,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Within-country diagnostic; not the main cross-country estimand,1.558289463176002,Observed fixed-universe Theil,,-0.15068053169664627,-0.09669611151033469,-0.32332864908802555,0.12993642606735614
country_year_fe_diagnostic,cadot_broad_156,Exports,product,observed_theil,observed_theil,log_gdp_per_capita,0.13492514056014193,0.0853227185867554,1.5813506976216565,0.11584952992630757,-0.03362887110335658,0.3034791522236404,3589,155,0.9355995799169213,ok,3589,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Within-country diagnostic; not the main cross-country estimand,1.558289463176002,Observed fixed-universe Theil,,,,-0.014958554069406995,0.13499142726268953
country_year_fe_diagnostic,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_population,0.20392842150785429,0.24493691425045497,0.8325752863014011,0.406373588108062,-0.2799415276126041,0.6877983706283126,3589,155,0.861598380353668,ok,3589,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Within-country diagnostic; not the main cross-country estimand,1.2851931007184998,Global-market component,,0.14135241040420932,0.10998534798014778,-0.15098173222206082,0.37095242818235635
country_year_fe_diagnostic,cadot_broad_156,Exports,product,market_component_theil,market_component_theil,log_gdp_per_capita,0.43034323295013027,0.11208797561168256,3.839334510251223,0.00017974880066257872,0.2089147756585431,0.6517716902417174,3589,155,0.861598380353668,ok,3589,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Within-country diagnostic; not the main cross-country estimand,1.2851931007184998,Global-market component,,,,0.11267465382756561,0.35152204692607514
country_year_fe_diagnostic,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_population,-0.42131447734511646,0.2678129271472099,-1.5731670678971024,0.11773236721042983,-0.9503757167629343,0.10774676207270134,3589,155,0.9226161417963884,ok,3589,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Within-country diagnostic; not the main cross-country estimand,1.7404818126700905,Country-specific specialization (KL),,-0.2920329421008544,-0.1677885628996282,-0.37848729228389333,0.04291016648463689
country_year_fe_diagnostic,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_gdp_per_capita,-0.29541809238998773,0.09179150645511379,-3.218359778575458,0.0015721611253438498,-0.4767511172386244,-0.11408506754135109,3589,155,0.9226161417963884,ok,3589,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Within-country diagnostic; not the main cross-country estimand,1.7404818126700905,Country-specific specialization (KL),,,,-0.18986621425006242,-0.04543439772517041
country_year_fe_diagnostic,cadot_broad_156,Exports,product,market_component_share,market_component_share,log_population,0.028596757035877607,0.03616703895485434,0.7906856038608422,0.4303434384278191,-0.042850796520825615,0.10004431059258083,3589,155,0.8969750236840184,ok,3589,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Within-country diagnostic; not the main cross-country estimand,0.2382026492751232,Global-market share of observed Theil,,0.019821761512576343,0.08321385833825165,-0.12469176511489001,0.29111948179139335
country_year_fe_diagnostic,cadot_broad_156,Exports,product,market_component_share,market_component_share,log_gdp_per_capita,0.07403484744142476,0.016028835957282717,4.618853648432714,8.09308985420987e-06,0.042370073420551935,0.10569962146229758,3589,155,0.8969750236840184,ok,3589,0,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Within-country diagnostic; not the main cross-country estimand,0.2382026492751232,Global-market share of observed Theil,,,,0.1232929063591258,0.3075759015518916
