period,country,iso3,reporter_code,start_year,end_year,start_source_file,end_source_file,start_active_nonenergy_products,start_total_nonenergy_imports,start_calculated_ex_energy_gini,start_top5_share,start_top5_gini_contribution,start_rank6_50_share,start_rank6_50_gini_contribution,start_rank51_200_share,start_rank51_200_gini_contribution,start_rank201_plus_share,start_rank201_plus_gini_contribution,end_active_nonenergy_products,end_total_nonenergy_imports,end_calculated_ex_energy_gini,end_top5_share,end_top5_gini_contribution,end_rank6_50_share,end_rank6_50_gini_contribution,end_rank51_200_share,end_rank51_200_gini_contribution,end_rank201_plus_share,end_rank201_plus_gini_contribution,delta_calculated_ex_energy_gini,delta_active_nonenergy_products,delta_top5_share,delta_top5_gini_contribution,delta_rank6_50_share,delta_rank6_50_gini_contribution,delta_rank51_200_share,delta_rank51_200_gini_contribution,delta_rank201_plus_share,delta_rank201_plus_gini_contribution,gini_change_direction,main_driver_bucket,main_driver_group,start_panel_ex_energy_gini,end_panel_ex_energy_gini,delta_panel_ex_energy_gini,calculated_vs_panel_delta_gap
balanced_2000_2024,North Macedonia,MKD,807,2000,2024,COMTRADE-FINAL-CA8072000H1[2022-10-07].parquet,COMTRADE-FINAL-CA8072024H6[2025-02-26].parquet,4146,1284035547.75,0.8424469110988174,0.08413384285918028,0.08404579172298815,0.26546718964852734,0.26253536594414545,0.256276740294786,0.24262639674852232,0.3941222271975063,0.25323935668316155,4477,10468104685.53,0.8735008253364857,0.1700083165236225,0.16986412838540044,0.25276655411055754,0.25022850068185226,0.23431827142219788,0.22266675038945571,0.3429068579436221,0.23074144587977719,0.031053914237668234,331,0.08587447366444222,0.08581833666241229,-0.012700635537969795,-0.012306865262293187,-0.021958468872588094,-0.019959646359066607,-0.0512153692538842,-0.02249791080338437,increase,top5,top-5 superstar concentration,0.8424469110988175,0.8732907428686434,0.030843831769825858,0.00021008246784237627
balanced_2000_2024,Uganda,UGA,800,2000,2024,COMTRADE-FINAL-CA8002000H1[2005-12-22].parquet,COMTRADE-FINAL-CA8002024H6[2025-10-15].parquet,4017,792434524.0,0.8967602488524322,0.11124521121949503,0.11111711703964623,0.36194485135783916,0.3579703702324429,0.25646413658776934,0.2427804244444492,0.2703458008348965,0.18489233713589376,4377,11686933613.1,0.9273508380972744,0.3665104723987405,0.36633410466746175,0.24780399495071723,0.24551234746737866,0.1806492059639575,0.17172789510563852,0.20503632668658478,0.14377649085679564,0.030590589244842148,360,0.2552652611792455,0.25521698762781553,-0.11414085640712193,-0.11245802276506423,-0.07581493062381184,-0.07105252933881068,-0.06530947414831173,-0.04111584627909812,increase,top5,top-5 superstar concentration,0.8967602488524322,0.9273508380972744,0.030590589244842148,0.0
balanced_2000_2024,Morocco,MAR,504,2000,2024,COMTRADE-FINAL-CA5042000H1[2022-12-26].parquet,COMTRADE-FINAL-CA5042024H6[2025-12-10].parquet,4517,9521577603.841,0.8644251249742647,0.13809819434129958,0.1379871850244447,0.2731310707409351,0.27048436907588774,0.23482908200433317,0.22337446175706105,0.35394165291343216,0.2325791091168711,4850,84719631994.603,0.8923169945334747,0.11689053366825129,0.11677885813372785,0.33902371893520167,0.33613129958368615,0.2356472459074986,0.22506640978294246,0.30843850148904856,0.21434042703311826,0.02789186955920997,333,-0.021207660673048287,-0.02120832689071686,0.06589264819426655,0.0656469305077984,0.000818163903165442,0.0016919480258814068,-0.0455031514243836,-0.018238682083752844,increase,rank6_50,upper-tier concentration (ranks 6-50),0.8644251249742645,0.8923081317256674,0.027883006751402872,8.862807807097361e-06
balanced_2000_2024,Ireland,IRL,372,2000,2024,COMTRADE-FINAL-CA3722000H1[2022-12-08].parquet,COMTRADE-FINAL-CA3722024H6[2025-03-21].parquet,4538,45728937904.94401,0.8802296219099958,0.27498185294842564,0.27477476529156747,0.2528667057368683,0.25063420306641343,0.17775568718065884,0.16919867305056088,0.29439575413404706,0.1856219805014539,5349,135324122954.77296,0.9077848135241944,0.2705674406442594,0.27040909518735223,0.2653629226788307,0.26331697654232605,0.1880753274926163,0.1805236484746751,0.27599430918429385,0.19353509331984092,0.027555191614198615,811,-0.004414412304166226,-0.004365670104215236,0.012496216941962401,0.012682773475912623,0.010319640311957451,0.01132497542411423,-0.01840144494975321,0.007913112818387025,increase,rank6_50,upper-tier concentration (ranks 6-50),0.8797892484525123,0.907784813524194,0.02799556507168177,-0.00044037345748315637
balanced_2000_2024,Turkey,TUR,792,2000,2024,COMTRADE-FINAL-CA7922000H1[2022-12-07].parquet,COMTRADE-FINAL-CA7922024H6[2025-12-23].parquet,4658,44590154571.0,0.8422675854131456,0.12306921792033902,0.12296768925702704,0.22922737510866567,0.22708249200908143,0.23355240321981346,0.22231865641181614,0.41415100375118186,0.26989874773522116,5178,278382419766.0,0.8696320037429823,0.14877627031122742,0.14867376087401174,0.24297315981682935,0.2408687052119546,0.22739620221783657,0.21756872848420808,0.3808543676541066,0.262520809172808,0.027364418329836715,520,0.0257070523908884,0.025706071616984696,0.013745784708163677,0.013786213202873182,-0.006156201001976891,-0.004749927927608061,-0.03329663609707528,-0.007377938562413144,increase,top5,top-5 superstar concentration,0.8436911451738516,0.8696320037429826,0.025940858569130976,0.0014235597607057393
balanced_2000_2024,France,FRA,251,2000,2024,COMTRADE-FINAL-CA2512000H1[2005-02-28].parquet,COMTRADE-FINAL-CA2512024H6[2025-06-20].parquet,4901,261644020185.0,0.7947383680048523,0.09584261217691546,0.09575772423130247,0.20835115423794145,0.20656384548472434,0.20385483440166854,0.19447317893131688,0.4919513991834745,0.29794361935750857,5506,664347379336.204,0.8217966069505084,0.07470223454814566,0.07463991447327571,0.2203373879949735,0.21868330957441162,0.21823737349318678,0.20918312464408512,0.4867230039636941,0.3192902582587361,0.027058238945656066,605,-0.021140377628769802,-0.021117809758026754,0.011986233757032033,0.012119464089687282,0.014382539091518237,0.014709945712768235,-0.005228395219780413,0.02134663890122751,increase,rank201_plus,tail compression (rank 201+),0.7859464633916327,0.8217966069505087,0.03585014355887606,-0.008791904613219992
balanced_2000_2024,Italy,ITA,380,2000,2024,COMTRADE-FINAL-CA3802000H1[2022-06-30].parquet,COMTRADE-FINAL-CA3802024H6[2025-12-25].parquet,5055,206828373008.07898,0.7981359342964006,0.1016944401672657,0.10160987083204664,0.20349161751186812,0.2017283105339571,0.21551364464179618,0.2059631501617693,0.47930029767907006,0.2888346027686277,5465,506961350088.67303,0.8250217708784364,0.09279080355351342,0.09272017564220636,0.21551996994589662,0.21383054336884513,0.22445958479368394,0.2152128882965944,0.46722964170690595,0.3032581635707905,0.026885836582035805,410,-0.008903636613752278,-0.008889695189840285,0.0120283524340285,0.012102232834888038,0.008945940151887766,0.009249738134825103,-0.012070655972164113,0.014423560802162783,increase,rank201_plus,tail compression (rank 201+),0.7981359342964007,0.8250217708784364,0.026885836582035694,1.1102230246251565e-16
balanced_2000_2024,Austria,AUT,40,2000,2024,COMTRADE-FINAL-CA0402000H1[2002-09-01].parquet,COMTRADE-FINAL-CA0402024H6[2025-07-07].parquet,4652,61414500821.0,0.8025504834626236,0.08733261920718918,0.08725832917116329,0.21452674319376602,0.2124413271029312,0.22093979471636876,0.21025143168613492,0.47720084288267606,0.2925993955023942,5198,183643741784.254,0.8281004745590219,0.07721962569488933,0.07715843007917277,0.20754349959290572,0.20566099363584703,0.2350894708038601,0.2249659105080502,0.48014740390834487,0.32031514033595204,0.025549991096398328,546,-0.010112993512299856,-0.010099899091990522,-0.006983243600860306,-0.006780333467084176,0.014149676087491347,0.014714478821915289,0.0029465610256688146,0.02771574483355782,increase,rank201_plus,tail compression (rank 201+),0.8034109455454779,0.8286878327290468,0.025276887183568908,0.0002731039128294199
balanced_2000_2024,New Zealand,NZL,554,2000,2024,COMTRADE-FINAL-CA5542000H1[2005-12-22].parquet,COMTRADE-FINAL-CA5542024H6[2025-06-19].parquet,4428,12216475428.0,0.824271049195609,0.1355615683721899,0.13544507728555014,0.22636183163450474,0.22419218295574553,0.20988271970189404,0.19934956159101924,0.4281938802914113,0.26528422736329416,4912,40665706702.40299,0.8493207917218585,0.10336904883043888,0.10326982229090848,0.24646689067340719,0.2443707057907154,0.22644580774571543,0.2160700939671304,0.4237182527504387,0.28561016967310415,0.025049742526249474,484,-0.032192519541751036,-0.03217525499464166,0.020105059038902445,0.020178522834969875,0.016563088043821395,0.016720532376111152,-0.004475627540972638,0.020325942309809997,increase,rank201_plus,tail compression (rank 201+),0.8253774779763614,0.8493207917218581,0.02394331374549674,0.0011064287807527329
balanced_2000_2024,Panama,PAN,591,2000,2024,COMTRADE-FINAL-CA5912000H1[2002-09-01].parquet,COMTRADE-FINAL-CA5912024H6[2025-03-24].parquet,4032,2778719452.0,0.8382182779514993,0.09371593372356037,0.09362158822872546,0.26149657910841156,0.25859098747982323,0.246098324718533,0.23254978922980854,0.39868916244949515,0.253455913013142,4121,11237810418.0,0.8629894774703041,0.12747894507148644,0.12736722564297817,0.24138800496714344,0.23865076698152551,0.2703635872993066,0.2557860819396565,0.36076946266206367,0.241185402906144,0.0247711995188048,89,0.03376301134792607,0.03374563741425271,-0.020108574141268126,-0.019940220498297717,0.024265262580773606,0.023236292709847978,-0.03791969978743148,-0.012270510106998034,increase,top5,top-5 superstar concentration,0.8382182779514993,0.8626290942551407,0.02441081630364139,0.00036038321516340677
