outcome_slug,flow,outcome_label,estimator,model_label,income_form,income_label,linear_term,linear_coefficient,linear_std_error,linear_p_value,quadratic_term,quadratic_coefficient,quadratic_std_error,quadratic_p_value,turning_point_ppp_constant_2021_intl_usd,turning_point_inside_minmax,turning_point_inside_p05_p95,income_min,income_p05,income_p95,income_max,nobs,clusters,r_squared,expected_shape,verdict
export_active_product_count,Exports,Export Active HS6 Product Count,between_country,level_ppp_controls_between_country,level_ppp,PPP GDPpc level,gdp_pc_ppp_constant_2021_intl_usd_10k,876.0690951664012,98.1235539688083,3.544980177053048e-15,gdp_pc_ppp_constant_2021_intl_usd_10k_sq,-59.775754132289315,12.175178847180987,2.68572280396266e-06,73279.63552141715,True,True,795.772138310178,2252.6688962301046,74162.49564974211,174569.523171267,135,0,0.7722627400321653,active_inverted_u,clear active-line hump
export_active_product_count,Exports,Export Active HS6 Product Count,pooled_year_fe,log_ppp_controls_year_fe_country_cluster,log_ppp,log PPP GDPpc,log_gdp_pc_ppp_constant_2021_intl_usd,2731.2748944599057,880.1283264291902,0.0023350765523030984,log_gdp_pc_ppp_constant_2021_intl_usd_sq,-94.7804556692673,47.72188224042659,0.049062684304655484,1809260.5808823397,False,False,795.772138310178,2252.6688962301046,74162.49564974211,174569.523171267,3240,135,0.7838144707931588,active_inverted_u,outside-support active-line peak
export_active_product_count,Exports,Export Active HS6 Product Count,country_year_fe,log_ppp_controls_country_year_fe_country_cluster,log_ppp,log PPP GDPpc,log_gdp_pc_ppp_constant_2021_intl_usd,2204.511216979947,875.0342454511446,0.01293230834336875,log_gdp_pc_ppp_constant_2021_intl_usd_sq,-91.99745135319415,45.39301523981503,0.04467841802282299,159750.92121699997,True,False,795.772138310178,2252.6688962301046,74162.49564974211,174569.523171267,3240,135,0.9662518222342636,active_inverted_u,"statistical active-line bend, edge peak"
export_active_product_count,Exports,Export Active HS6 Product Count,between_country,log_ppp_controls_between_country,log_ppp,log PPP GDPpc,log_gdp_pc_ppp_constant_2021_intl_usd,2909.3876116777988,941.0735462020402,0.0024366823112544527,log_gdp_pc_ppp_constant_2021_intl_usd_sq,-103.54594039649784,50.864602236718426,0.043810697325089784,1262717.6311657724,False,False,795.772138310178,2252.6688962301046,74162.49564974211,174569.523171267,135,0,0.8162438108847789,active_inverted_u,outside-support active-line peak
import_product_gini,Imports,Import Product Gini,pooled_year_fe,level_ppp_controls_year_fe_country_cluster,level_ppp,PPP GDPpc level,gdp_pc_ppp_constant_2021_intl_usd_10k,-0.014443865611791246,0.002018877567619295,4.956386788385318e-11,gdp_pc_ppp_constant_2021_intl_usd_10k_sq,0.0011115703132032811,0.0001870449606061113,2.289117063239624e-08,64970.544104256725,True,True,795.772138310178,2250.9714342755224,73769.31725340582,174569.523171267,3236,135,0.31455567654957195,concentration_u,clear hump
import_product_gini,Imports,Import Product Gini,country_year_fe,level_ppp_controls_country_year_fe_country_cluster,level_ppp,PPP GDPpc level,gdp_pc_ppp_constant_2021_intl_usd_10k,-0.005164215306423618,0.0031400417125610957,0.10238954924380644,gdp_pc_ppp_constant_2021_intl_usd_10k_sq,0.0003396382638306233,0.00014536731903644974,0.02095283775982405,76025.22825577448,True,False,795.772138310178,2250.9714342755224,73769.31725340582,174569.523171267,3236,135,0.848884300991307,concentration_u,"statistical bend, edge turning point"
import_product_gini,Imports,Import Product Gini,between_country,level_ppp_controls_between_country,level_ppp,PPP GDPpc level,gdp_pc_ppp_constant_2021_intl_usd_10k,-0.015975536635765314,0.002371511639018868,4.746861671969873e-10,gdp_pc_ppp_constant_2021_intl_usd_10k_sq,0.0013041058504885343,0.00025341368836110273,9.571217796699324e-07,61250.92004525813,True,True,795.772138310178,2250.9714342755224,73769.31725340582,174569.523171267,135,0,0.35609711672870425,concentration_u,clear hump
import_product_gini,Imports,Import Product Gini,pooled_year_fe,log_ppp_controls_year_fe_country_cluster,log_ppp,log PPP GDPpc,log_gdp_pc_ppp_constant_2021_intl_usd,-0.09499815546469877,0.02814079125526138,0.0009632434192857454,log_gdp_pc_ppp_constant_2021_intl_usd_sq,0.004240653567537486,0.0014777391560044113,0.004775989535750382,73195.27372867342,True,True,795.772138310178,2250.9714342755224,73769.31725340582,174569.523171267,3236,135,0.3754325197927626,concentration_u,clear hump
import_product_gini,Imports,Import Product Gini,country_year_fe,log_ppp_controls_country_year_fe_country_cluster,log_ppp,log PPP GDPpc,log_gdp_pc_ppp_constant_2021_intl_usd,-0.09967412311820843,0.03837133176889199,0.010436577625245934,log_gdp_pc_ppp_constant_2021_intl_usd_sq,0.004400625767873319,0.0019421760523297069,0.02506573116426765,82867.17133020231,True,False,795.772138310178,2250.9714342755224,73769.31725340582,174569.523171267,3236,135,0.8563703623898518,concentration_u,"statistical bend, edge turning point"
import_product_gini,Imports,Import Product Gini,between_country,log_ppp_controls_between_country,log_ppp,log PPP GDPpc,log_gdp_pc_ppp_constant_2021_intl_usd,-0.0980295248212972,0.02889901896242719,0.000919247834429954,log_gdp_pc_ppp_constant_2021_intl_usd_sq,0.004411873446670982,0.0015152564141512328,0.004232456708816731,66818.74815906315,True,True,795.772138310178,2250.9714342755224,73769.31725340582,174569.523171267,135,0,0.4052158917319939,concentration_u,clear hump
