source_file,reporter_code,year,total_imports_cells,active_products,active_partners,actual_partner_gini,counterfactual_partner_gini,partner_gini_reduction,explained_share,counterfactual_residual_share,full_diffusion_partner_gini,full_diffusion_reduction,full_diffusion_explained_share,conservative_total_abs_error,full_diffusion_total_abs_error,conservative_product_total_max_abs_error,country,iso3,exercise1_total_imports,exercise1_partner_gini,exercise1_partner_active_count,exercise4_summary_total_imports,exercise4_summary_import_products,exercise4_country,exercise4_iso3,partner_gini_validation_abs_diff,exercise4_total_abs_diff,exercise1_total_abs_diff
COMTRADE-FINAL-CA3482025H6[2026-03-02].parquet,348,2025,138231106379.45102,5192,195,0.9067019692252001,0.709169795741484,0.1975321734837161,0.2178578851576912,0.7821421148423088,0.0,0.9067019692252001,1.0,3.0517578125e-05,3.0517578125e-05,2.384185791015625e-07,Hungary,HUN,136451914927.421,0.9065797750388545,195,138231106379.451,5192,Hungary,HUN,0.0001221941863456255,3.0517578125e-05,1779191452.030014
COMTRADE-FINAL-CA0362025H6[2026-03-06].parquet,36,2025,306679626376.81903,5119,219,0.9119976241275152,0.7161733865400977,0.19582423758741752,0.21472011813052425,0.7852798818694757,0.0,0.9119976241275152,1.0,6.103515625e-05,6.103515625e-05,4.76837158203125e-07,Australia,AUS,306679626376.819,0.9119976241275152,219,306679626376.819,5119,Australia,AUS,0.0,6.103515625e-05,6.103515625e-05
COMTRADE-FINAL-CA4842025H6[2026-03-03].parquet,484,2025,578797385845.0,4159,134,0.9295385290482279,0.7347013764701673,0.19483715257806056,0.2096063223732727,0.7903936776267273,0.0,0.9295385290482279,1.0,0.0,0.0,1.9073486328125e-06,Mexico,MEX,572077590886.0,0.9292947793807212,134,578797385845.0,4159,Mexico,MEX,0.00024374966750662086,0.0,6719794959.0
COMTRADE-FINAL-CA8262025H6[2026-03-10].parquet,826,2025,917066101311.379,5397,232,0.8911379361411611,0.6995616551855612,0.19157628095559986,0.21497937994332353,0.7850206200566765,0.0,0.8911379361411611,1.0,0.0001220703125,0.0001220703125,1.9073486328125e-06,United Kingdom,GBR,917066101311.3788,0.8911379361411611,232,917066101311.3788,5397,United Kingdom,GBR,0.0,0.000244140625,0.000244140625
COMTRADE-FINAL-CA2682024H6[2026-04-28].parquet,268,2024,16649372790.625,4478,129,0.8543411185409475,0.663632003041916,0.19070911549903147,0.2232236180142265,0.7767763819857735,0.0,0.8543411185409475,1.0,0.0,0.0,2.9802322387695312e-08,Georgia,GEO,16398319934.866,0.8534054560159947,126,16649372790.625,4478,Georgia,GEO,0.0009356625249528072,0.0,251052855.75900078
COMTRADE-FINAL-CA2082025H6[2026-03-10].parquet,208,2025,138798772750.365,5350,229,0.9183704997431814,0.7383040262096587,0.18006647353352268,0.19607170916735406,0.8039282908326459,0.0,0.9183704997431814,1.0,3.0517578125e-05,0.0,4.76837158203125e-07,Denmark,DNK,138798772750.365,0.9183704997431814,229,138798772750.365,5350,Denmark,DNK,0.0,0.0,0.0
COMTRADE-FINAL-CA7032025H6[2026-04-28].parquet,703,2025,129730020608.40799,5201,236,0.9165355699733793,0.7367251293078054,0.17981044066557383,0.19618490166267788,0.8038150983373221,0.0,0.9165355699733793,1.0,0.0,1.52587890625e-05,2.384185791015625e-07,Slovakia,SVK,129730020608.408,0.9165355699733791,236,129730020608.408,5201,Slovakia,SVK,1.1102230246251565e-16,1.52587890625e-05,1.52587890625e-05
COMTRADE-FINAL-CA7522025H6[2026-05-09].parquet,752,2025,201984531428.16104,5291,230,0.919204688401503,0.7431995213902767,0.17600516701122637,0.1914754887916198,0.8085245112083802,0.0,0.919204688401503,1.0,3.0517578125e-05,3.0517578125e-05,2.384185791015625e-07,Sweden,SWE,192911841866.824,0.9191716414932036,230,201984531428.161,5291,Sweden,SWE,3.30469082994167e-05,3.0517578125e-05,9072689561.337036
COMTRADE-FINAL-CA8182025H6[2026-04-16].parquet,818,2025,100767268928.601,4712,184,0.8783668543536545,0.7039353734596892,0.17443148089396532,0.19858613747705745,0.8014138625229426,0.0,0.8783668543536545,1.0,0.0,1.52587890625e-05,2.384185791015625e-07,Egypt,EGY,98729267915.107,0.882416006046074,184,100767268928.601,4712,Egypt,EGY,0.004049151692419484,0.0,2038001013.4940033
COMTRADE-FINAL-CA8542024H6[2025-03-06].parquet,854,2024,6428761846.702001,3417,164,0.8877271923851648,0.7134433912109004,0.17428380117426445,0.1963258562644622,0.8036741437355378,0.0,0.8877271923851648,1.0,0.0,9.5367431640625e-07,2.384185791015625e-07,Burkina Faso,BFA,6357826016.669001,0.890883067809463,164,6428761846.702,3417,Burkina Faso,BFA,0.0031558754242981824,9.5367431640625e-07,70935830.03299999
